Question,Option A,Option B,Option C,Correct Answer
"283. A circuit has a current flow of 6A. If the voltage is trebled, the new current will be.",6A,2A,18A,18A
284. Which components can be regarded as consumer loads,"Resistors, computers, lamps","Capacitors, inductors","Galvanometers, thermometer","Resistors, computers, lamps"
285. Which material is known to have low specific resistance?,Copper,Wool,Plastic,Copper
"286. What is used to compare the ""weight"" of the resistor?",Wheatstone bridge,Millivoltmeter,Ammeter,Wheatstone bridge
287. What are the main material used for NTC resistors?,"Platinum, nickel, cobalt","Platinum, copper, iron, nickel","Aluminium, copper, cobalt","Platinum, nickel, cobalt"
288. The increase in the temperature of the NTC resistors will lead to,The increase in the conductivity of the material,The increase in electromotive force,The increase in electromagnetic force of the material,The increase in the conductivity of the material
"289. When the resistors are connected in series, the total resistance will be",R= R1+R2+R3+…,R=R1xR2xR3x…,R= (R1xR2xR3x…)/(R1+R2+R3+…),R= R1+R2+R3+…
290. The voltage in a series circuit,Is the same in each component,Is different in each component,Is less than it would be in a parallel circuit,Is different in each component
291. Total resistance in parallel for R1 and R2 is,1/RT = (R1 x R2) ÷ (R1 + R2),RT = 1/R1 + 1/R2,1/RT = 1/R1 + 1/R2,1/RT = 1/R1 + 1/R2
292. The formula for resistance in series is,RT = R1 + R2 + R3...RN,RT= R1 x R2 x R3...RN,1/RT= 1/ (R1 x R2 x R3 ...RN),RT = R1 + R2 + R3...RN
293. The 4th colored band on a resistor represents the,Tolerance,Multiplier,Reliability or temperature coefficient,Tolerance
294. What is the combined value of resistances of 4 ohm and 6 ohm connected in parallel?,24 ohms,2.4 ohms,0.24 ohms,2.4 ohms
"295. When resistors are in parallel, the total resistance is",The sum of all the resistors,Larger than the smallest resistor,Smaller than the smallest resistor,Smaller than the smallest resistor
"296. If a number of resistors are connected in parallel, the total resistance is",The same value as the biggest one,Lower value than smallest one,Greater value than the smallest one,Lower value than smallest one
297. A 47 kilohm resistor has the following color code,"Yellow, violet, orange","Orange, violet, red","Red, orange, yellow","Yellow, violet, orange"
298. A 47K Ohm resistor with a 10% tolerance has the following color code:,"Orange, violet, red, gold","Red, orange, yellow, silver","Yellow, violet, orange, silver","Yellow, violet, orange, silver"
299. What is the ideal condition for metals to conduct in PTC resistors,High temperature,High current and voltage,Low temperature,High current and voltage
"300. How many amperes will a 28-volt generator be required to supply to a circuit containing five lamps in parallel, three of which have a resistance of 6 ohms each and two of which have a resistance of 5 ohms each?",25.23 amperes,1 amperes,1.1111 amperes,25.23 amperes
301. Which of these will cause the resistance of a conductor to decrease,Decrease the length or increase the cross-sectional area,Decrease the length or the cross-sectional area,Increase the length or decrease the cross-sectional area,Increase the length or decrease the cross-sectional area
302. A potentiometer varies,Voltage,Current,Resistance,Resistance
303. Six resistors each of 6 ohms would be,36 ohms in parallel,1 ohm in series,1 ohm in parallel,36 ohms in parallel
"304. In a circuit containing three resistors of equal value connected in parallel, one resistor goes open circuit. The current in the other two resistors will",Increase,Decrease,Remain the same,Increase
"305. The total current flowing in a circuit of 200 lamps in parallel, each of a resistance of 400 ohm and connected across an input of 100 volts is",25 amps,40 amps,50 amps,50 amps
"306. In general, increasing the cross sectional area of an electrical cable",Enables it to carry more voltage,Enables it to carry more current,Increase its resistance,Enables it to carry more current
"307. If the cross-sectional area of a conductor is doubled, with voltage constant, the current will",Halve,Double,Stay the same,Double
"308. A 3, 5 and 2 ohms resistance is connected in series with a 10 V battery. The voltage across the 2 ohms resistor is",2V,10V,4V,2V
309. A 10 V battery supplies a resistive load of 10 ohms for 1 minute. What is the power supplied?,100 W,10 VA,10 W,10 W
310. What is the power dissipated in a 500 ohm resistor with a 3A flow?,4.5 kW,1.5 kW,750 kW,4.5 kW
311. The power in a circuit when voltage and resistance is given can be found by?,U*R,U*U*R,U*U / R,U*U / R
312. A DC circuit containing a total resistance of 100 ohms has a current flow of 250 mA. The power dissipated in the circuit is?,0.4 W,5 W,6.25 W,6.25 W
313. A 500 ohm resistor carries a 3 amp current. What is the power dissipated?,500 W,4.5 kW,5 kW,4.5 kW
"314. How much power must a 24-volt generator furnish to a system which contains the following series loads? 5 ohm, 3 ohm and 12 ohm",42 W,28.8 W,45 W,28.8 W
315. Which requires the most electrical power during operation?,A 12-volt motor requiring 8 amperes,Four 30-watt lamps in a 12-volt parallel circuit.,Two lights requiring 3 amperes each in a 24volt parallel system.,Two lights requiring 3 amperes each in a 24volt parallel system.
"316. A lamp has eight light bulbs. They have a power consumption of 50 watts each. The voltage is 230 volts, What is the current in the lamp?","1,74 A","2,74 A",0.125,"1,74 A"
317. An electric motor has a power consumption of 500 W (according to the nameplate) and the efficiency is 90 %. Therefore the power delivered at the shaft is?,400 W,450 W,500 W,450 W
318. A aircraft passenger’s mass is 80 kg. The speed of the aircraft is 864 km/h. How much kinetic Energy?,2304 kNm,2403 kNm,2504 kNm,2304 kNm
"319. A passenger’s mass is 800 kg. If the airplane flies at an altitude of 10,000 m, how much energy is stored in the passenger’s body?",7.848 MNm,8.784 MNm,9.784 MNm,7.848 MNm
320. The operating time of a motor with 12 Amperes at a voltage of 220 Volts is 1000 h/year. What is the price of energy at 5000 VND/kWh?,"13,200,000 VND","12,300,000 VND","12,000,000 VND","13,200,000 VND"
321. Which statement is correct?,A capacitor with double the area and double the dielectric thickness will have double the capacitance.,A capacitor with double the area and double the dielectric thickness will have the same capacitance.,A capacitor with double the area and double the dielectric thickness will have half the capacitance.,A capacitor with double the area and double the dielectric thickness will have the same capacitance.
"322. If the distance between the two plates of a capacitor is reduced, what will be the effect?",Capacitance increases.,Capacitance decreases.,Capacitance is unaffected.,Capacitance increases.
323. The voltage rating of a capacitor is?,The min voltage required to charge.,The normal operating voltage,The max voltage that can be constantly applied,The max voltage that can be constantly applied
"324. Three capacitors 10 microfarads, 10 nanofarads and 10 millifarads are connected in parallel. What is the total capacitance?",10010010 millifarads.,111 millifarads.,1001001 millifarads.,10010010 millifarads.
325. What must you do to make a 3 F capacitor circuit into a 2 F circuit?,Put a 2 F capacitor in parallel.,Put a 6 F capacitor in series.,Put a 1 F capacitor in series.,Put a 6 F capacitor in series.
326. Three 12 µ(micro)F capacitors are in series. The total capacitance is,12 µ(micro)F.,36 µ(micro)F.,4 µ(micro)F.,4 µ(micro)F.
327. The amount of charge depends on,"The plate size, the distance between the plates and on the applied voltage",The plate size and the distance between the plates,The distance between the plates and on the applied voltage,"The plate size, the distance between the plates and on the applied voltage"
328. Which statement is correct?,"The capacity depends on area of the plates, Distance between the plates","The capacity depends on area of the plates, Distance between the plates, Dielectric","The capacity depends on distance between the plates, Dielectric","The capacity depends on area of the plates, Distance between the plates, Dielectric"
"329. When different rated capacitors are connected in parallel in a circuit, the total capacitance is?",Less than the capacitance of the lowest rated capacitor.,Equal to the capacitance of the highest rated capacitor.,Equal to the sum of all the capacitances.,Equal to the sum of all the capacitances.
330. The size of a capacitor depends on,Capacity (area of the plates) and the maximum voltage (thickness of the dielectric),Capacity (area of the plates),The maximum voltage (thickness of the dielectric),Capacity (area of the plates) and the maximum voltage (thickness of the dielectric)
331. When two capacitors are connected in series.,The charge stored on each is inversely proportional to the voltage across it.,The charge stored on each is the same.,The charge stored on each is directly proportional to its capacitance.,The charge stored on each is the same.
332. A circuit has 1 megohm and 8 microfarads. What is the time constant?,"0,8 seconds",80 seconds,8 seconds.,8 seconds.
333. Which of the following materials is easiest to magnetize?,Copper,Iron,Nickel,Iron
334. Which statement is correct?,Aluminium and platinum are ferromagnets,Aluminium and platinum are paramagnets,Aluminium and platinum are diamagnets,Aluminium and platinum are paramagnets
"335. To find which end of an electromagnet is the north pole, use the",Fleming's Left Hand Rule.,Cork Screw Rule.,Right Hand Clasp Rule.,Right Hand Clasp Rule.
336. Of the following which pair of materials would most readily become magnetized?,Iron and steel.,Copper and steel.,Nickel and bronze.,Iron and steel.
337. Ferromagnetic materials have a relative permeability,Which is much higher than the permeability of the vacuum.,Which is much smaller than the permeability of the vacuum.,Which is nearly the same as the permeability of the vacuum.,Which is much higher than the permeability of the vacuum.
338. Paramagnetic materials have a permeability,Which is much higher than the permeability of the vacuum.,Which is much smaller than the permeability of the vacuum.,Which is nearly the same as the permeability of air or the vacuum,Which is nearly the same as the permeability of air or the vacuum
339. Diamagnetic materials have a permeability,Which is much higher than the permeability of the vacuum.,Which is much smaller than the permeability of the vacuum,Which is nearly the same as the permeability of air or the vacuum,Which is much smaller than the permeability of the vacuum
340. The symbol for the magnetomotive force is,Dental,Theta,Beta,Theta
341. The magnetomotive force is measured in,Amperes,V/A,Mu,Amperes
342. The symbol for the magnetic field strength is,A,B,H,H
343. The magnetic field strength is,A/m,B/m,H/m,A/m
344. The symbol for permeability is,Θ (theta),µ (mu),Φ (phi),µ (mu)
345. What are main functions of proximity switches?,Monitor the position of the landing gear and the undercarriage door.,To measure deflect angle of control surface,To measure deflect angle of landing gear,Monitor the position of the landing gear and the undercarriage door.
346. What is definition of proximity switches?,A target which connected to the sensor unit.,A sensor which can detect an object coming nearer by the change of the magnetic field,A sensor which can detect an object coming far by the change of the magnetic field,A sensor which can detect an object coming nearer by the change of the magnetic field
347. Which statement is correct?,Zinc is an example of a ferromagnets Material,Zinc is an example of a paramagnetic material,Zinc is an example of a diamagnets Material,Zinc is an example of a diamagnets Material
348. Which statement is correct?,Cobalt is an example of a ferromagnets Material,Cobalt is an example of a paramagnetic material,Cobalt is an example of a diamagnets Material,Cobalt is an example of a ferromagnets Material
349. Which statement is correct?,Platinum is an example of a ferromagnets Material,Platinum is an example of a paramagnetic material,Platinum is an example of a diamagnets Material,Platinum is an example of a paramagnetic material
"350. Having two conductors parallel, if the direction of the current running the conductors is the same:",The wires attract,The wires attract then repel,The wires repel,The wires attract
"351. Having two conductors parallel, if the direction of the current running the conductors is different:",The wires attract,The wires attract then repel,The wires repel,The wires repel
352. The permeability is constant if:,The material is in all conditions,The material is exposed to a magnetic field.,The material is not exposed to a magnetic field.,The material is not exposed to a magnetic field.
353. If the magnetic field strength H increases:,The permeability decrease,The permeability also increases,The permeability constant,The permeability also increases
354. The symbol for the magnetic flux density is:,B,T,H,B
355. The magnetic field strength is measured in tesla:,B,T,H,T
356. The symbol for the magnetic flux is,Θ (theta),µ (mu),Φ (phi).,Φ (phi).
357. The symbol for inductance is,L,H,B,L
358. The inductance is measured in,µ (mu),Henry (H),Φ (phi).,Henry (H)
360. According to Faraday the induced voltage is calculated by,The change of the number of windings,The magnetic flux within a certain span of time,The change of the magnetic flux within a certain span of time,The change of the magnetic flux within a certain span of time
361. How many items the induced voltage depends on,1,2,3,3
362. Two inductive coils are placed in close proximity with each other at 90 degrees. The number of flux linkages is,Maximum negative,0,Maximum positive,0
363. 1 Volt is produced when a current of 1 Amp per second is varied in a coil'. This is a definition of,1 Henry,1 Ampere per metre,1 Coulomb per second,1 Henry
364. Two inductor coils in very close proximity; if one of the coils is rotated 90 degrees slowly away from the other the mutual inductance,Decreases,Remains the same,Increases.,Decreases
365. Two inductor coils in very close proximity; If the angle is 0 degree the magnetic flux which is generated by coil 1 will hit coil 2 in an optimal way. Coil 2 will have:,A no voltage.,The maximum possible voltage,A lower voltage,The maximum possible voltage
366. Two inductor coils in very close proximity; If the angle is 45 degree the magnetic flux which is generated by coil 1 will hit coil 2 in an optimal way. Coil 2 will have:,A no voltage.,The maximum possible voltage,A lower voltage,A lower voltage
367. Two inductor coils in very close proximity; If the angle is 90 degree the magnetic flux which is generated by coil 1 will hit coil 2 in an optimal way. Coil 2 will have:,A no voltage.,The maximum possible voltage,A lower voltage,A no voltage.
368. Which statement is correct?,Current transformers allow the measurement of AC currents without breaking the current−carrying leads,Current transformers allow the measurement of AC voltage without breaking the current−carrying leads,Current transformers allow the measurement of DC voltage without breaking the current−carrying leads,Current transformers allow the measurement of AC currents without breaking the current−carrying leads
369. The direction of the induced voltage depends on:,The direction in which the conductor is moved and on the electrons,The direction in which the conductor is moved and on the direction of the magnetic field.,The direction in which the conductor is moved and on the electrons and protons,The direction in which the conductor is moved and on the direction of the magnetic field.
370. Which methods are applied to control the speed of DC machines in practice?,Voltage control and Field Control,Voltage control,Field Control,Voltage control and Field Control
371. The stationary part of a electrical machine is,Magnetic flux,Stator,Rotor,Stator
372. The rotating part of a electrical machine is,Magnetic flux,Stator,Rotor,Rotor
373. The induced voltage increases proportional to:,"Magnetic field strength, speed of movement and the length of the conductor","Speed of movement, the length of the conductor","Magnetic field strength, speed of movement","Magnetic field strength, speed of movement and the length of the conductor"
374. How many part the rotor of a electrical machine has?,1,3,2,3
"375. In a DC motor, the stator's magnetic field, due to armature reaction, moves",Into alignment with the GNA,In the same direction of rotation of the armature,In the opposite direction of rotation of the armature,In the opposite direction of rotation of the armature
376. Which statement is correct?,"The DC shunt−wound motor is used whenever a constant speed at various loads is required,","The DC shunt −wound motor is used whenever a constant speed at various loads is not required,","The DC shunt−wound motor is used whenever a high power is required,","The DC shunt−wound motor is used whenever a constant speed at various loads is required,"
377. Which statement is correct?,"The stator of a DC machine has a steel ring (yoke), the main poles made of sheet metal with pole core","The stator of a DC machine has the main poles made of sheet metal with pole core, pole shoe and the excitation winding.","The stator of a DC machine has a steel ring (yoke), the main poles made of sheet metal with pole core and pole shoe and the excitation winding.","The stator of a DC machine has a steel ring (yoke), the main poles made of sheet metal with pole core and pole shoe and the excitation winding."
378. Commutating poles are connected,In parallel with the armature and hence oppose the armature cross field,In series with the armature and hence oppose the armature cross field,In series with the armature and stator,In series with the armature and hence oppose the armature cross field
379. The series−wound machine basically consists of,"The stator with the excitation winding, the rotor with the armature winding and the carbon brushes","The stator with the excitation winding, the rotor with the armature winding","The rotor with the armature winding, the carbon brushes","The stator with the excitation winding, the rotor with the armature winding and the carbon brushes"
380. How to accelerate the series−wound DC motor,By DC source,By a variable resistor,By strong magnetic fields,By strong magnetic fields
381. Which statement is correct?,DC machine is used to start up a turbine,DC machine is used to start up a turbine and provide electrical power,DC machine is used to provide electrical power,DC machine is used to start up a turbine and provide electrical power
382. What is the meaning of peak value?,The positive maximum value which a sine curve can assume,The positive or negative maximum value which a sine curve can assume,The negative maximum value which a sine curve can assume,The positive or negative maximum value which a sine curve can assume
383. The peak power is calculated by:,Multiplying the peak voltage Upeak with the peak current Ipeak,Average the peak voltages Upeak,Average the peak current Ipeak,Multiplying the peak voltage Upeak with the peak current Ipeak
384. Peak−to−peak value means:,Negative maximum value of a sine curve,Positive maximum value of a sine curve,The value measured between positive maximum value and negative maximum value of a sine curve,The value measured between positive maximum value and negative maximum value of a sine curve
385. What is the definition of Triangular Waves?,"Triangular Waves are given if the voltage increases linearly and, if a certain level is achieved, decreases linearly.","Triangular Waves are given if the voltage decreases linearly and, if a certain level is achieved, decreases linearly.","Triangular Waves are given if the voltage increases linearly and, if a certain level is achieved, increases linearly.","Triangular Waves are given if the voltage increases linearly and, if a certain level is achieved, decreases linearly."
386. What is the definition of Triangular Waves?,Triangular Waves are given if the current periodically changes between two values,Triangular Waves are given if the voltage periodically changes between two values,Triangular Waves are given if the voltage no changes,Triangular Waves are given if the voltage periodically changes between two values
"387. If the magnetic wheel of a bipolar device (one pole pair) rotates 50 times per second,",An AC with a frequency of f = 5 Hz is generated,An AC with a frequency of f = 500 Hz is generated,An AC with a frequency of f = 50 Hz is generated,An AC with a frequency of f = 50 Hz is generated
388. A sine wave has 5 amps RMS value. What is the peak value?,7.07 amps.,6.37 amps.,10 amps.,7.07 amps.
389. A sine wave has 10 voltage the peak value. What is RMS value?,"14,14 V",7.07 V,10 V,7.07 V
390. 10 ohm resistor has a 14.14 V peak drop across it. What power is dissipated?,14.14 W,19.99 W,10 W,10 W
391. The RMS power is calculated by,Multiplying the RMS voltage V with the RMS current I,Multiplying the Upeak voltage V with the RMS current I,Multiplying the RMS voltage V with the Ipeak,Multiplying the RMS voltage V with the RMS current I
392. The symbol for frequency is,H,F,B,F
393. The frequency is measured in,W,Hz,V,Hz
394. A heating device applied to 240 V consumes 3 A. What is the resistance?,80 Ω,90 Ω,70 Ω,80 Ω
395. In a coil with an inductive reactance of XL = 30 Ohm a current of I = 2 A flows. What voltage occurs on the inductive reactance?,40 V,60 V,50 V,60 V
"396. An ideal coil with an inductance of L = 200 mH is applied to an AC voltage of U = 220, f = 50 Hz, What is the inductive reactance?","31,4 Ω","6,28 Ω","62,8 Ω","62,8 Ω"
"397. An ideal coil with an inductance of L = 200 mH is applied to an AC voltage of U = 220, f = 50 Hz, What current builds up?","3,5 A",0.291666667,35 A,"3,5 A"
398. The symbol for reactive power is,P,Q,A,Q
399. The symbol for capacitive reactive power is,P,Q,Qc,Qc
400. The reactive power is measured in,Var,W,KW,Var
401. The symbol for apparent power is,P,S,Var,S
402. The apparent power is measured in,Var,KW,Volt-Ampere [VA],Volt-Ampere [VA]
"403. A pure capacitor, inductor and resistor are connected in series and the voltage drops across each are 10V and the total current flowing in the circuit is 1A. How much true power is the circuit consuming?",10W,30VA,30W,10W
404. A coil that has an effective resistance of 12 Ohms and is applied to an AC voltage of 36 V at 50 Hz has a current consumption of 1 A. Calculate the impedance.,18 Ω,36 Ω,"3,6 Ω",36 Ω
405. A coil that has an effective resistance of 12 Ohms and is applied to an AC voltage of 36 V at 50 Hz has a current consumption of 1 A. Calculate the inductive reactance.,35 Ω,40 Ω,"33,9 Ω","33,9 Ω"
406. A coil that has an effective resistance of 12 Ohms and is applied to an AC voltage of 36 V at 50 Hz has a current consumption of 1 A. Calculate the effective voltage.,"11,88 V",12 V,24 V,"11,88 V"
407. A coil that has an effective resistance of 12 Ohms and is applied to an AC voltage of 36 V at 50 Hz has a current consumption of 1 A. Calculate the reactive voltage,25 V,"33,9 V",40 V,"33,9 V"
408. The symbol for inductive reactance is,RL,ZL,XL,XL
"409. A capacitor with a capacitance with C = 10 µF is connected to an AC voltage source with U = 220 V, f = 50 Hz, What value is the capacitive reactance of the capacitor?",XC= 318 Ω,XC= 381 Ω,XC= 636 Ω,XC= 318 Ω
"410. A capacitor with a capacitance with C = 10 µF is connected to an AC voltage source with U = 220 V, f = 50 Hz, What value is the current input of the capacitor?","3,46 A","0,692 A","0,173 A","0,692 A"
"411. A coil without loss with L = 500 mH and a capacitor with C = 20 µF are connected in parallel to a power supply with 230 V at 50 Hz, What are the currents in the capacitor?","2,54 A","1,54 A","1,45 A","1,45 A"
"412. Generally, a transformer consists of:",Two coils and an iron core,Two cores and a coil,Two cores and an iron core,Two coils and an iron core
413. The number of windings of the transformer's input coil is,N1/N0,N1,N2,N1
414. The number of windings of the transformer's output coil is,N1/N1,N1,N2,N2
415. The turns ratio of transformer is calculated with this formula,N1/N2,N3,N2,N1/N2
"416. A transformer has an input voltage of 220 V AC. The self-induced voltage in the primary coil is 215.5 V. It opposes the input voltage. In the primary coil, the resistance of the windings is 3 Ω. What is the no-load current of the transformer?",1A,1.5A,2A,1.5A
"417. A transformer has an input voltage of 220 V AC. The self-induced voltage in the primary coil is 215.5 V. It opposes the input voltage. In the primary coil, the resistance of the windings is 3 Ω. What is the current without self-induced voltage? This will happen when the voltage is a DC voltage.","71,6A","72,5A","73,3A","73,3A"
418. An AC transformer converts a voltage of 220 V to 12 V. The secondary coil has 100 turns. How many turns must the primary winding have?,1833,958,1000,1833
419. The secondary winding of a transformer with 60 turns consumes a current of 10 A. How many amperes consumes a primary winding with 1200 turns?,1A,"0,5 A",2A,"0,5 A"
420. A transformer is used to supply four motors. Each motor gives a power of 5 kW. The power factor of the motors is 0.9. What is the minimum nominal power output of the transformer?,20 W,25 W,"22,22 W","22,22 W"
421. The short circuit voltage of a transformer is,A reference for the change of the output voltage when the load increases,A reference for the change of the output voltage when the load decreases,A reference for the change of the output voltage when the load no change,A reference for the change of the output voltage when the load increases
