Question,Option A,Option B,Option C,Option D,Correct Answer
The specific gravity of methylated spirit is 0.8. Its density is:,800 kg/m³,80 kg/m³,8 kg/m³,,800 kg/m³
"The density of Copper (Cu) is 8,900kg/m3. What is its relative density?",890,89,8.9,,8.9
"A pilot requests 9.2 tons of fuel. The bowser driver reports to the pilot that the specific gravity is 0.8, what will the uplift be?","11,500 liters","10,500 liters","9,500 liters",,"11,500 liters"
"Given that 1 cubic foot of water weighs 62.4 lbs and the specific gravity of fuel is 0.81, what is the weight of 10 cubic foot of fuel?",402.8 lbs,505.4 lbs,770.3 lbs,,505.4 lbs
What is the purpose of hydrometer?,Hydrometer is used to measure the specific gravity of solids,Hydrometer is used to measure the specific gravity of gas,Hydrometer is used to measure the specific gravity of liquids,,Hydrometer is used to measure the specific gravity of liquids
The equation defining pressure is:,Pressure = Force /Area,Pressure = Force /Volume,Pressure = Weight /Area,,Pressure = Force /Area
Pressure in a pipe is:,Force per unit area,Weight per unit area,Mass per unit area,,Force per unit area
"The Unit of pressure is Pascal, this Unit equals:",Pa = N/m²,Pa = N/m,Pa = N.m,,Pa = N/m
"On a day when the atmosphere pressure is 102 kPa, what is the force acting on a desk top having an area of 5 m²?",710 kN,610 kN,510 kN,,510 kN
"101,3 kPa commonly written as:",1013 hPa,10130 hPa,101.3 Pa,,1013 hPa
In the English system the height of the mercury column is:,29.92 mm,29.92 cm,29.92 in,,29.92 in
"The general relation which connects gauge pressure, absolute pressure and atmospheric pressure is:",Pabs = Pgauge - Patm,Pabs = Patm - Pgauge,Pabs = Pgauge + Patm,,Pabs = Pgauge + Patm
Atmospheric pressure is 14.6 psi and the tyre gauge is showed 32 psi when using measure tyre pressure. How many actual pressure the gas is exerting on the inner walls of the tyre?,46.6 psi,17.4 psi,32.0 psi,,46.6 psi
The zero on the absolute pressure scale is the pressure exerted by:,A normal air,A perfect vacuum,An air at 10.000m,,A perfect vacuum
What is a constant factor to calculate the volume change caused by pressure?,It is the compressibility,It is the viscosity,It is the expansion,,It is the viscosity
"If pressure on a liquid increases, whilst temperature is held constant, the volume will",Decrease,Remain constant,Increase,,Remain constant
Which is the viscosity of the fluid influenced by?,The pressure,The volume,The temperature,,The temperature
"In fluids, the following factors are important for the calculation of fluid resistance:","Size of object, form of object and density of the fluid","Size of object, form of object and density of object","Size of object, form of object",,"Size of object, form of object and density of the fluid"
"For venturi tube, when fluid enters the restriction, how is fluid speed?",Fluid speed increase,Fluid speed decrease,Fluid speed is constant,,Fluid speed increase
What is the formula to change temperature from the Celsius reading to a Kevin reading?,K = °C + 273,K = °C + 237,K = °C + 373,,K = °C + 273
How many temperature on The Kevin scale when water starts freezing?,273° K,0° K,373° K,,0° K
One degree increment on the Centigrade scale is equal to what increment on the Fahrenheit scale?,30° F,12° F,33.8° F,,33.8° F
"Normally, how do liquids expansion compare with solids?",Liquids expand more than solids,Liquids expand less than solids,Liquids expand as much as solids,,Liquids expand more than solids
"How is the Metric Equation for heating? Q: heat gained or lost, m: mass of the body, C: specific heat, ∆T: temperature change",Q =,Q = m.,∆T c. Q = C.∆T/m,,Q = m.
How much heat must be supplied to raise the temperature of 3 kg aluminum fitting from 20°C to 30°C? Know that: specific heat of the substance is 0.912 kJ/kg,37.36 kJ,17.36 kJ,27.36 kJ,,27.36 kJ
"If 5 kg of water at 30°C are mixed with 3 kg of water at 10°C, what is the final temperature of the mixture?",20,15,10,,15
What is the Boyle-Mariotte Law statement?,"When you decrease the volume of gas in a container, the pressure of the gas will increase","When you decrease the volume of gas in a container, the pressure of the gas will decrease proportionally","When you decrease the volume of gas in a container, the pressure of the gas will not change",,"When you decrease the volume of gas in a container, the pressure of the gas will increase"
What is the Gay-Lussac’s Law statement?,"When you increase the temperature of a gas, the volume of the gas will not change","When you increase the temperature of a gas, the volume of the gas will also increase","When you increase the temperature of a gas, the volume of the gas will decrease",,"When you increase the temperature of a gas, the volume of the gas will also increase"
The chemical reaction is typically a hydrocarbon reacting with oxygen to form the following result:,Carbon dioxide and heat,"Carbon dioxide, water and heat","Carbon dioxide, water, ozone and heat",,"Carbon dioxide, water and heat"
How much speed of light in free space (a vacuum)?,Approximately 3x10^8 m/s,Approximately 5x10^8 km/h,Approximately 3x10^6 m/s,,Approximately 3x10^8 m/s
Which is the speed of the wave equal to?,The speed of the wave is equal to the wavelength divided by the frequency,The speed of the wave is equal to the wavelength multiplied by the frequency,The speed of the wave is equal to the wavelength divide the frequency,,The speed of the wave is equal to the wavelength multiplied by the frequency
The light waves have very small wavelengths and they are measured in:,Milimetre,Micrometre,Nanometre,,Nanometre
"For the light reflection at plane surfaces, how is the angle of incidence?",The angle of incidence equals to the angle of reflection plus 90o,The angle of incidence equals to the angle of reflection,The angle of incidence equals to a half of the reflection angle,,The angle of incidence equals to the angle of reflection
"If an object placed in front of plane mirror, which image is created?",Virtual image and the same size as the object,Virtual image and behind the mirror,"Virtual image, behind the mirror and same size as the object",,"Virtual image, behind the mirror and same size as the object"
How many kinds of spherical mirrors? Detail them,2 kinds: Concave and Convex Mirror,"3 kinds: Concave, Convex and Plane Mirror",2 kinds: Concave and Curved Mirror,,2 kinds: Concave and Convex Mirror
What is Snell’s law statement for refraction?,The ratio of the sine of the angle of incidence and the sine of the angle of refraction is proportional to refraction surface material,The ratio of the sine of the angle of incidence and the sine of the angle of refraction is proportional to refraction surface angle,The ratio of the sine of the angle of incidence and the sine of the angle of refraction is a constant,,The ratio of the sine of the angle of incidence and the sine of the angle of refraction is a constant
Which colors of the spectrum are widely accepted to be?,"Red, orange, yellow, green, blue, indigo and violet","Red, blue, yellow and green","Red, blue, yellow, violet and green",,"Red, orange, yellow, green, blue, indigo and violet"
How is the image formed by a concave lens?,Virtual and right way up,"Virtual, right way up and reduced in size",Virtual and reduced in size ----HẾT---,,"Virtual, right way up and reduced in size"
