Question,Option A,Option B,Option C,Correct Answer
2106. What is the purpose of bypass valve inside FMU?,This valve is necessary to keep the pressure difference across the fuel metering valve constant,This valve is necessary to keep the pressure difference across the fuel metering valve increase,This valve is necessary to keep the pressure difference across the fuel metering valve decrease,This valve is necessary to keep the pressure difference across the fuel metering valve constant
2107. What is the purpose of governor inside FMU?,Minimize the fuel flow through the fuel metering valve if the electrical overspeed protection by the ECU fails,Stops the fuel flow through the fuel metering valve if the electrical overspeed protection by the ECU fails,Reduces the fuel flow through the fuel metering valve if the electrical overspeed protection by the ECU fails,Reduces the fuel flow through the fuel metering valve if the electrical overspeed protection by the ECU fails
2108. What does FMU servo fuel valve control?,"Variable stator vanes, variable bleed valves","Variable stator vanes, variable bleed valves, high pressure and low pressure turbine clearance control valves",High pressure and low pressure turbine clearance control valves,"Variable stator vanes, variable bleed valves, high pressure and low pressure turbine clearance control valves"
2109. How does ECU change the speed of engine?,It transmits a control current to the torque motor of the fuel metering valve,It transmits a analog signal to the torque motor of the fuel metering valve,It transmits a digital signal to the torque motor of the fuel metering valve,It transmits a control current to the torque motor of the fuel metering valve
2110. What are the main component protect engine overspeed as a back-up when ECU fails?,The fuel metering valve,The by-pass valve,The overspeed governor,The overspeed governor
2111. Where can we find EIU on aircraft?,We can find these engine interface units on engine,We can find these engine interface units in the electronic compartment of the aircraft,We can find these engine interface units in the fwd cargo compartment,We can find these engine interface units in the electronic compartment of the aircraft
2112. What is the main purpose of EIU?,Interface between engine and other aircraft systems,Back-up for engine control when ECU fails,Monitor engine conditions,Interface between engine and other aircraft systems
2113. How does ECU channel operate?,The 2 channels in an ECU operate totally independently from each other,The 2 channels in an ECU operate totally dependently from each other,The 2 channels in an ECU operate totally at the same time,The 2 channels in an ECU operate totally independently from each other
2114. How are ECUs power supplied?,From the permanent magnet alternator,From the aircraft and the permanent magnet alternator,From the aircraft,From the aircraft and the permanent magnet alternator
2115. How does 2 channel of ECU operate during engine?,The active channel always collects the data from the engine and aircraft and they always communicate with each other via a cross channel data link,The 2 channels A and B always collect the data from the engine and aircraft and they do not communicate with each other via a cross channel data link,The 2 channels A and B always collect the data from the engine and aircraft and they always communicate with each other via a cross channel data link,The 2 channels A and B always collect the data from the engine and aircraft and they always communicate with each other via a cross channel data link
"2116. During engine operation, which conditions can the ECU detect?",The ECU can detect compressor stalls,"The ECU can detect compressor stalls, flame outs, and other abnormal conditions","The ECU can detect compressor stalls, flame outs","The ECU can detect compressor stalls, flame outs, and other abnormal conditions"
2117. Which statement is the best correct?,"During start automatic, The ECU controls all the necessary activities and continuously monitors the start sequence","During start automatic, The ECU continuously monitors the start sequence","During start automatic, The ECU controls all the necessary activities","During start automatic, The ECU controls all the necessary activities and continuously monitors the start sequence"
"2118. If a flame out occurs, which does ECU activate automatically?","If a flame out occurs, the ECU automatically activates the ignition to restart the combustion","If a flame out occurs, the ECU automatically shuts down engine","If a flame out occurs, the ECU automatically supplies more fuel for combustion","If a flame out occurs, the ECU automatically activates the ignition to restart the combustion"
2119. Where is Ps12 sensor located?,At combustion chamber,After compressor section,At engine air inlet,At engine air inlet
2120. Normally how is ECUs power supplied?,By a permanent magnet alternator on the engine accessory gearbox,By a permanent magnet alternator on avionic bay,By aircraft electrical system,By a permanent magnet alternator on the engine accessory gearbox
2121. What is the Ps3 signal represent?,The Ps3 signal represents the compressor inlet temperature.,The Ps3 signal represents the compressor discharge pressure.,The Ps3 signal represents the compressor discharge pressure and inlet temperature.,The Ps3 signal represents the compressor discharge pressure.
2122. What is the T25 signal represent?,The T25 signal represents the compressor inlet temperature.,The T25 signal represents the combustion chamber inlet temperature.,The T25 signal represents the air inlet temperature.,The T25 signal represents the compressor inlet temperature.
2123. Normally where are engine parameters showed?,Engine indications normally show on ECAM display system,Engine indications normally show on simple gauges location at center of pedestal,Engine indications normally show on engine monitoring display in MCDU,Engine indications normally show on ECAM display system
"2124. Because it is not possible to measure the thrust directly, which are different indications to give an equivalent value?",The rotational speed of the fan N1,The rotational speed of the fan N1 and the engine pressure ratio EPR,The rotational speed of the fan N1 and the rotational speed of the high pressure compressor N2,The rotational speed of the fan N1 and the engine pressure ratio EPR
2125. EGT is an abbreviation for,Engine gas temperature,Exhaust gas temperature,Exhaust gas thrust,Exhaust gas temperature
2126. Which parts is Engine performance indication divided into,Primary engine indication,Secondary engine indication,Primary engine indication and Secondary engine indication,Primary engine indication and Secondary engine indication
2127. Which is the below fault NOT relate to engine indication,Brakes temperature over limit,A low oil pressure,A filter gets clogged,Brakes temperature over limit
2128. Which unit are the engine rotor speed indications expressed?,Rounds/minute,Percent,Rounds/hour,Percent
