Question,Option A,Option B,Option C,Option D,Correct Answer
"On most modern gas turbine engines, a combination of all 3 cooling methods of convection, impingement and film cooling is used on?",The first stage nozzle guide vanes and the first stage rotor blades,The first stage nozzle guide vanes and The second stage nozzle guide vanes.,The second stage rotor blades and the second stage nozzle guide vanes.,,The first stage nozzle guide vanes and the first stage rotor blades
Which does the engine use for the active clearance control of LP turbine?,Compressor bleed air,The engine fan air.,The ram air.,,The engine fan air.
The clearance control valves are normally controlled by the engine control unit and actuated by,Electric motor control valves.,Pneumatic pressures from PS3 station.,Fuel pressure from the engine fuel system,,Fuel pressure from the engine fuel system
"In convergent exhaust nozzles, the maximum airflow at pressure ratios should be below of",Approximately 2:1,Approximately 3:1,Approximately 1:1,,Approximately 2:1
On a four engine aircraft the angle of the reverse stream can be matched by,The correct arrangement of the thrust reverser actuators.,The correct arrangement of the cascade vanes in the thrust reverser cowlings.,The correct troke of the thrust reverser actuators.,,The correct arrangement of the cascade vanes in the thrust reverser cowlings.
What indication does the pilot receive that thrust reversers have deployed?,An audible warning.,A sequence of lights.,A feeling of rapid deceleration.,,A sequence of lights.
"In normal operation, the pneumatic reversers usually operate with",Pneumatic pressure from aircraft pneumatic system.,Pneumatic pressure from the engine’s HP compressor.,Pneumatic pressure from the engine’s LP compressor.,,Pneumatic pressure from the engine’s HP compressor.
"In maintenance operation, the pneumatic reversers usually operate with",Pneumatic pressure from aircraft pneumatic system.,Pneumatic pressure from the engine’s HP compressor.,Pneumatic pressure from the engine’s LP compressor.,,Pneumatic pressure from aircraft pneumatic system.
Speed control of the pneumatic thrust reverse system is via,The speed sensor of the air motor.,The overspeed mechanism of the air motor.,The cam mechanism on the feedback rod.,,The cam mechanism on the feedback rod.
How is the pneumatically operated reverser is latched in deploy position?,By locking valve.,By cam lock mechanism.,By the brake in the pneumatic drive unit.,,By the brake in the pneumatic drive unit.
The main components of the hydraulically operated thrust reverser system are:,The reverser control valve module and the hydraulic actuators to deploy or stow the reverser.,"The reverser control valve module, gearboxes, ballscrew actuators.","The reverser control valve module, gearboxes and the hydraulic actuators to deploy or stow the reverser.",,The reverser control valve module and the hydraulic actuators to deploy or stow the reverser.
"To avoid the jamming of the translating sleeve, the reverser system use:",A directional control valve.,A the synchronize control valve.,The flexible drive shafts.,,The flexible drive shafts.
There are 2 methods to deactivate hydraulically operated thrust reversers are:,"Mechanically lock the movable reverser components, or shut−off the hydraulic supply to the reverser actuators by a manually operated shut−off valve.","Mechanically lock the movable reverser components, or disconnect the electrical connector at the solenoid of the directional pilot valve.","Disconnect the electrical connector at the solenoid of the directional pilot valve, or shut−off the hydraulic supply to the reverser actuators by a manually operated shut−off valve.",,"Mechanically lock the movable reverser components, or shut−off the hydraulic supply to the reverser actuators by a manually operated shut−off valve."
The accessory gearbox of a high bypass engine is.,On the HP Compressor housing.,In the forward bearing housing.,Attached to the turbine casing.,,On the HP Compressor housing.
The accessory units are mounted in the ways of easy removal and installation of the accessory units are:,Bolted to the accessory gear box or fitted by a V−clamp.,Bolted to the accessory gear box or by a QAD-ring.,Fitted by a V−clamp or by a QAD-ring.,,Fitted by a V−clamp or by a QAD-ring.
What bearing is used to take axial loads on a main rotation shaft of a gas turbine engine?,Plain bearing.,Roller bearing.,Ball bearing.,,Ball bearing.
A floating bearing is usually,Plain bearing.,Roller bearing.,Ball bearing.,,Roller bearing.
The type of seal between the drive shaft and the gearbox is:,Carbon seals,Labyrinth seals.,Rubber seals.,,Carbon seals
How are bearings lubricated?,By greases.,By engine oil system.,By engine fuel system.,,By engine oil system.
Which are tasks of modern jet engines oil,Lubricating only,Cooling only,"Lubricating, corrosion protection, cleaning, cooling",,"Lubricating, corrosion protection, cleaning, cooling"
What dose mineral oil often use?,Piston engine,Turbojet engine,Turbo fan engine,,Piston engine
What dose synthetic oil often use?,Piston engine,Turbojet engine,Do not use for aviation engine,,Turbojet engine
How many type of synthetic oil?,3,2,4,,3
How is oil viscosity change when oil temperature increases,Oil viscosity decreases,Oil viscosity increases,Oil viscosity not change,,Oil viscosity decreases
Why dose JET A1 mostly use for modern turbine engine?,High flash point,Low freezing point,A high flash point of +38° C and a low freezing point of -47° C,,A high flash point of +38° C and a low freezing point of -47° C
What is function of oil supply line filter?,To remove any foreign particles from oil before it reaches to oil nozzle,To remove any fuel from oil before it reaches to oil nozzle,To remove any water from oil before it reaches to oil nozzle,,To remove any foreign particles from oil before it reaches to oil nozzle
What kind of bearing seal?,"Labyrinth seal, dynamic seal","Carbon seal, labyrinth seal","Carbon seal, dynamic seal",,"Carbon seal, labyrinth seal"
Which statement is correct?,The scavenge system is part of every dry sump lubrication system. It returns the oil from the bearing compartments and the gearboxes to the oil tank,The scavenge system is part of every dry sump lubrication system. It supplies the oil from the bearing compartments and the gearboxes to the oil tank,The scavenge system is part of every dry sump lubrication system. It drains the oil from the bearing compartments and the gearboxes to outside.,,The scavenge system is part of every dry sump lubrication system. It returns the oil from the bearing compartments and the gearboxes to the oil tank
What is the most type pump using for oil system?,Piston pump,Gear pump,Centrifugal pump,,Gear pump
Which are data that oil system monitors,Oil pressure only,"Oil quantity, oil temperature, oil pressure",Oil temperature only,,"Oil quantity, oil temperature, oil pressure"
Which statement is correct?,Magnetic chip detectors are small magnets which are in contact with the supply oil. They collect particles of magnetic metal which are passing through the oil.,Magnetic chip detectors are small filter which are in contact with the scavenge oil. They collect particles of magnetic metal which are passing through the oil,Magnetic chip detectors are small magnets which are in contact with the scavenge oil. They collect particles of magnetic metal which are passing through the oil,,Magnetic chip detectors are small magnets which are in contact with the scavenge oil. They collect particles of magnetic metal which are passing through the oil
The supply pump is driven by?,The N1 rotor system,The supply pump is driven by the N2 rotor system via the gearbox,The supply pump is driven by the N1 rotor system via the gearbox,,The supply pump is driven by the N2 rotor system via the gearbox
The oil pressure is maintained constance by,A pressure regulating valve,Check valve,Bleed valve,,A pressure regulating valve
Which is statement correct?,Most large jet engines use fuel cooled oil coolers as the primary coolers because they are efficient and small.,Most large jet engines use fuel cooled oil coolers as the secondary coolers because they are efficient and small.,Some large jet engines use air cooled oil coolers as primary coolers to remove excessive heat from the oil,,Most large jet engines use fuel cooled oil coolers as the primary coolers because they are efficient and small.
The pressure switch is connected to,The pressure switch is also connected to the oil return line.,The pressure switch is also connected to the oil drain line and the oil tank vent line,The pressure switch is also connected to the oil supply line and the oil tank vent line,,The pressure switch is also connected to the oil supply line and the oil tank vent line
What are main tasks of the engine fuel distribution subsystem?,Supply fuel to the engines,Pressurize fuel sufficiently for vaporizing in combustion chamber,"Heat fuel for anti icing, supply fuel to the engines, pressurize fuel sufficiently for vaporizing in combustion chamber",,"Heat fuel for anti icing, supply fuel to the engines, pressurize fuel sufficiently for vaporizing in combustion chamber"
what is component using for measuring the actual fuel flow and transmits signals to the cockpit for the fuel flow and fuel used indication.,Fuel regulator,Fuel flow transmitter,Fuel quantity probe,,Fuel flow transmitter
What are kind of low pressure fuel pumps?,The fuel pumps are usually impeller type pumps driven by the accessory gearbox,The fuel pumps are usually gear type pumps driven by the accessory gearbox,The fuel pumps are usually piston type pumps driven by the accessory gearbox,,The fuel pumps are usually impeller type pumps driven by the accessory gearbox
What are kind of high pressure fuel pumps?,The gear type pump and the impeller type pump.,The gear type pump and the piston type pump.,The impeller type pump and the piston type pump.,,The gear type pump and the piston type pump.
What is statement correct?,"Low pressure filters usually have disposable paper filter elements, and high pressure filters have cleanable wire mesh filter elements.","High pressure filters usually have disposable paper filter elements, and low pressure filters have cleanable wire mesh filter elements.",Low and high pressure filters usually have disposable paper filter elements.,,"Low pressure filters usually have disposable paper filter elements, and high pressure filters have cleanable wire mesh filter elements."
What is function of relief valve of fuel filter,Valve open by differential pressure to relief fuel pressure if the filter elements become clogged,Valve open by differential pressure to relief fuel pressure if the filter elements become to hot,Valve close by differential pressure to relief fuel pressure if the filter elements become clogged,,Valve open by differential pressure to relief fuel pressure if the filter elements become clogged
What does fuel manifold construction to prevent fuel leak,There only have double sealed connections.,There are shrouded connections and single sealed connections.,There are shrouded connections and double sealed connections.,,There are shrouded connections and double sealed connections.
What is main function of fuel nozzle?,To heat the fuel so that it vaporizes and burns as quickly as possible.,To atomize the fuel so that it vaporizes and burns as quickly as possible.,To regulate the fuel pressure so that it vaporizes and burns as quickly as possible.,,To atomize the fuel so that it vaporizes and burns as quickly as possible.
What is main function of fuel control unit?,To meter the fuel necessary for all operating conditions of the engine,To meter the fuel necessary for take off operating conditions of the engine only,To regulate the fuel pressure necessary for all operating conditions of the engine,,To meter the fuel necessary for all operating conditions of the engine
What is the idle speed?,Midle speed is the lowest speed at which an engine operates,Idle speed is the lowest speed at which an engine operates,Idle speed is the high speed at which an engine operates,,Idle speed is the lowest speed at which an engine operates
What is statement correct?,In a hydromechanical fuel control unit all the control functions are done by air pressures and mechanical components.,In a hydromechanical fuel control unit all the control functions are done by fluid pressures and mechanical components.,In a hydromechanical fuel control unit all the control functions are done by fluid pressures and air pressure components.,,In a hydromechanical fuel control unit all the control functions are done by fluid pressures and mechanical components.
What is FADEC stand for?,Full Authority Data Engine Control,Flight Authority Digital Engine Control,Full Authority Digital Engine Control,,Full Authority Digital Engine Control
What are functions of ECU?,It performs full power management and gives optimum thrust control for all operating conditions,It performs full power management and gives minimum thrust control for all operating conditions,It performs full power management and gives maximum thrust control for all operating conditions,,It performs full power management and gives optimum thrust control for all operating conditions
How does ECU perform fuel metering?,ECU use N1 performs all the fuel metering and constant thrust control,Hardware in the ECU performs all the fuel metering and constant thrust control,Software in the ECU performs all the fuel metering and constant thrust control,,Software in the ECU performs all the fuel metering and constant thrust control
A fuel metering unit with all these additional servo valves is usually called the hydromechanical unit (HMU). What does hydromechanical unit comprise?,It comprise A fuel metering unit with all these additional servo valves,It comprise A fuel metering unit with some sensor.,It comprise A fuel transmitter and all these additional servo valves,,It comprise A fuel metering unit with all these additional servo valves
What does EIU task?,The engine interface unit (EIU) receives discrete from control switches and digitizes these inputs and sends them to the HMU,The engine interface unit (EIU) receives discrete from control switches and digitizes these inputs and sends them to the ECU.,The engine interface unit (EIU) receives discrete from control switches and digitizes these inputs and sends them to the Fuel metering valve.,,The engine interface unit (EIU) receives discrete from control switches and digitizes these inputs and sends them to the ECU.
The engine air system can be divided into?,2 subsystems.,3 subsystems.,4 subsystems.,,3 subsystems.
Purpose of the compressor control system?,Protects the engine compressors against stall and surge in all operating conditions and it increases their efficiency.,Optimizes the tip clearance between the rotor blades and the stator casing to increase the engine efficiency.,Makes sure that the internal and external engine components are cooled sufficiently during operation and after engine shut down.,,Protects the engine compressors against stall and surge in all operating conditions and it increases their efficiency.
Purpose of the clearance control system?,Protects the engine compressors against stall and surge in all operating conditions and it increases their efficiency.,Optimizes the tip clearance between the rotor blades and the stator casing to increase the engine efficiency.,Makes sure that the internal and external engine components are cooled sufficiently during operation and after engine shut down.,,Optimizes the tip clearance between the rotor blades and the stator casing to increase the engine efficiency.
Purpose of The engine cooling system?,Protects the engine compressors against stall and surge in all operating conditions and it increases their efficiency.,Optimizes the tip clearance between the rotor blades and the stator casing to increase the engine efficiency.,Makes sure that the internal and external engine components are cooled sufficiently during operation and after engine shut down.,,Makes sure that the internal and external engine components are cooled sufficiently during operation and after engine shut down.
The subsystems of the compressor control system include:,The LP compressor bleed valve system and the HP compressor bleed valve system.,"The variable stator vane system, the LP compressor bleed valve system.","The variable bleed valve system, the variable stator vane system, the HP compressor bleed valve system.",,"The variable bleed valve system, the variable stator vane system, the HP compressor bleed valve system."
Clearance control systems are used to optimize the tip clearances in?,Turbines only.,Compressors only.,Turbines and compressors.,,Turbines and compressors.
The engine cooling system can be divided into?,The external cooling system only.,The internal air system only.,The external cooling system and the internal air system.,,The external cooling system and the internal air system.
Common tasks of the internal air system are?,Thrust balancing and internal cooling.,"Internal sealing, vibration balancing and internal cooling.","Internal sealing, pressure balancing and internal cooling.",,"Internal sealing, pressure balancing and internal cooling."
The subsystems of the compressor are controlled by?,The hydromechanical fuel control unit only.,The FADEC system only.,The hydromechanical fuel control unit or by the FADEC system.,,The hydromechanical fuel control unit or by the FADEC system.
The variable bleed valves are usually installed?,In the fan frame behind the low pressure compressor.,In the fan case behind the low pressure compressor.,In the fan case before the low pressure compressor.,,In the fan frame behind the low pressure compressor.
The variable stator vanes control the incoming airflow into?,The LP compressor.,The HP compressor.,The HP turbine.,,The HP compressor.
You can find the start bleed valve at?,The mid of the LP compressor.,The aft stages of the LP compressor.,The mid or aft stages of the HP compressor.,,The mid or aft stages of the HP compressor.
Turbine clearance control systems use cooling air that is blown on or into?,The turbine stator cases.,The turbine rotors.,The turbine stator blades.,,The turbine stator cases.
How do Compressor clearance control systems work?,They use cooling air on the compressor case.,They do not use cooling air on the compressor case. They use warm air to heat the rotor instead.,They use warm air to heat the compressor case.,,They do not use cooling air on the compressor case. They use warm air to heat the rotor instead.
All the internal airflow is picked up from?,The primary airflow at some points of the engine compressors or turbines.,The secondary airflow at some points of the engine turbines.,The secondary airflow at some points of the engine compressors or turbines.,,The primary airflow at some points of the engine compressors or turbines.
The core compartment is usually cooled and ventilated by?,Fan air.,Compressor air.,Turbine air.,,Fan air.
The main engine controls are?,"The engine start controls, the forward thrust controls and speed governor controls.","The engine start controls, the forward thrust controls and the reverse thrust controls.","The forward thrust controls, the reverse thrust controls, speed governor controls.",,"The engine start controls, the forward thrust controls and the reverse thrust controls."
The mechanical thrust control system transmits?,The thrust lever input signals to the fuel control unit on the engine.,The start lever input signals to the hydraulic mechanical unit on the engine.,The thrust lever input signals to the hydraulic mechanical unit on the engine.,,The thrust lever input signals to the fuel control unit on the engine.
The forward thrust control system is used to?,"Accelerate, decelerate and shut down the engine.",Accelerate and shut down the engine.,Accelerate and decelerate the engine. It can not be used to shut down the engine.,,Accelerate and decelerate the engine. It can not be used to shut down the engine.
Electrical thrust control systems use?,Electrical signals to transmit the thrust demand signal from the thrust control levers in the cockpit to the engines.,Electrical signals to transmit the thrust demand signal from the start control levers in the cockpit to the engines.,Mechanical signals to transmit the thrust demand signal from the thrust control levers in the cockpit to the engines.,,Electrical signals to transmit the thrust demand signal from the thrust control levers in the cockpit to the engines.
Electrical reverse thrust controls have?,"A reverse thrust lever, a mechanical and an electrical signal transmission, a reverser interlock system, a lever lock system and control switches.","A reverse thrust lever, a mechanical and an electrical signal transmission, a reverser interlock system, two lever locks system and control switches.","A reverse thrust lever, two mechanicals and an electrical signal transmission, a reverser interlock system, a lever lock system and control switches.",,"A reverse thrust lever, a mechanical and an electrical signal transmission, a reverser interlock system, a lever lock system and control switches."
The reverse thrust lever has?,2 main positions.,3 main positions.,4 main positions.,,3 main positions.
To generate high energy sparks the ignition system needs the following components?,The ignition exciter and electrical power supply only.,The ignition leads and the control switches only.,"The ignition exciter, the igniter plug, the ignition leads, the electrical power supply and the control switches.",,"The ignition exciter, the igniter plug, the ignition leads, the electrical power supply and the control switches."
How many igniter plugs on each engine?,One,Two,Three,,Two
The position of low-pressure fuel shut−off valve is indicated by the fuel valve closed light. This light illuminates when?,The valve is open and goes out when the valve is closed.,The valve is in intermediate position.,The valve is closed and goes out when the valve is open.,,The valve is closed and goes out when the valve is open.
The main positions of the forward thrust levers are?,Idle and take−off thrust.,"Idle, take−off thrust, reverse idle.","Idle, take−off thrust, reverse idle and full reverse thrust.",,Idle and take−off thrust.
The reverse thrust levers are located at?,The top of the forward thrust levers. Forward thrust and reverse thrust use the same components.,The bottom of the forward thrust levers. Forward thrust and reverse thrust use the same components.,The top of the forward thrust levers. Forward thrust and reverse thrust use different components.,,The top of the forward thrust levers. Forward thrust and reverse thrust use the same components.
The thrust lever lock system makes sure that?,The forward thrust lever and the reverse thrust lever can not be activated at the same time.,The forward thrust lever and the reverse thrust lever can be activated at the same time.,The forward thrust lever and the reverse thrust lever can move at the same time.,,The forward thrust lever and the reverse thrust lever can not be activated at the same time.
The ignition exciter?,Generates a very high voltage.,Produces the sparks from the high voltage.,Transports the electrical energy from the ignition exciter to the igniter plug and last but not least.,,Generates a very high voltage.
The igniter plug?,Generates a very high voltage.,Produces the sparks from the high voltage.,Transports the electrical energy from the ignition exciter to the igniter plug and last but not least.,,Produces the sparks from the high voltage.
The main purpose of the starting system is?,To crank the engine for maintenance checks.,To create the necessary conditions which are needed to start combustion in the combustion chamber.,To create the necessary conditions which are needed to start combustion in the combustion chamber or crank the engine for maintenance checks.,,To create the necessary conditions which are needed to start combustion in the combustion chamber or crank the engine for maintenance checks.
The starter motor operates?,The engine compressor through the accessory gearbox.,The engine turbine through the accessory gearbox.,The engine compressor directly.,,The engine compressor through the accessory gearbox.
Which are the indications give the engine thrust value?,"The rotational speed of the fan, called N1, or the engine pressure ratio.","The rotational speed of high pressure turbine, called N2, or the engine pressure ratio.","The rotational speed of the fan, called N1, or the rotational speed of high pressure turbine, called N2.",,"The rotational speed of the fan, called N1, or the engine pressure ratio."
Which types of sensor is normally used to measure the N1 rotor speed?,The tachometer generator type sensor,The variable reluctance type sensor.,The inductive type sensor.,,The variable reluctance type sensor.
Which types of sensor is normally used to measure the N2 rotor speed?,The tachometer generator type sensor or The inductive type sensor.,The inductive type sensor or the variable reluctance type sensor.,The tachometer generator type sensor or the variable reluctance type sensor.,,The tachometer generator type sensor or the variable reluctance type sensor.
"On engine speed indication, the red line shows on N1 indication it mean:",The reference of speed N1 target.,The speed N1 limit.,The exceedance of speed N1 before.,,The exceedance of speed N1 before.
How is the EPR corresponded to the engine thrust?,It is a signal from EPR sensor to engine control unit.,It is the ratio of the total pressure at the turbine outlet to the total pressure at the fan inlet.,It is the ratio of the static pressure at the turbine outlet to the static pressure at the fan inlet.,,It is the ratio of the total pressure at the turbine outlet to the total pressure at the fan inlet.
The highest heat to metal contact in a jet engine is the.,Burner cans.,Turbine inlet guide vanes.,Turbine blades.,,Turbine inlet guide vanes.
The thermocouples for the EGT are,Connected in parallel in order to measure the average exhaust gas temperature.,Connected in serial in order to measure the average exhaust gas temperature.,Directly to engine control unit in order to measure the average exhaust gas temperature.,,Connected in parallel in order to measure the average exhaust gas temperature.
What does the engine vibration sensors measure?,The radial acceleration of the rotor system.,The axial acceleration of the rotor system.,The axial and radial acceleration of the rotor system.,,The radial acceleration of the rotor system.
Where are the magnetic chip detectors installed?,On the pressure lines.,On the scavenge lines.,On the supply lines.,,On the scavenge lines.
The fuel flow transmitter measures,The mass flow of fuel between the fuel pump and fuel control unit.,The mass flow of fuel across the fuel boost pumps.,The mass flow of fuel between the fuel control unit and the fuel nozzles.,,The mass flow of fuel between the fuel control unit and the fuel nozzles.
