Question,Option A,Option B,Option C,Correct Answer
1478. Prediction is the,First step of Situation Awareness,Second step of Situation Awareness,Last step of Situation Awareness,Last step of Situation Awareness
1479. How does human communicate?,"Writing, Reading, Speaking, Listening, Facial expression, Body movement","Writing, Reading, Speaking, Listening","Led, Arm, Eye and Head Movement","Writing, Reading, Speaking, Listening, Facial expression, Body movement"
"1480. Name the ""Three C's"" rule in communication","Clear, Correct and Clean","Clear, Correct and Complete","Clear, Clean and Complete","Clear, Correct and Complete"
1481. One of rules for Speaking,Don’t interrupt. Don’t wait for the ”catchword” you always use to make your point,Listen actively. Ask questions,Be self confident. Express your thoughts and feelings clearly.,Be self confident. Express your thoughts and feelings clearly.
1482. What constitutes a good work handover?,A written and verbal account of the work done.,A written documentation of the work done.,A verbal account of the work done.,A written and verbal account of the work done.
1483. What should you have to make sure when communicating with other people in the group?,Make sure they hear what you said,Made sure you said everything you want to say,Made sure they understand what you said,Made sure they understand what you said
1484. Which method transports most in normal conversation?,Words,Tone of voice,Body language,Body language
1485. The Dirty Dozen is,A listing of the 12 most common causes of human error in maintenance,A listing of the 13 most common causes of human error in maintenance,A listing of the 14 most common causes of human error in maintenance,A listing of the 12 most common causes of human error in maintenance
1486. What is “Assertiveness” in “Dirty Dozen”,Capability to create pressure to other people,Capability to work under pressure,Capability to made correct decision in critical situation,Capability to made correct decision in critical situation
1487. What is “Complacency” in “Dirty Dozen”?,Capability to work alone,Believes in your decision without making reference to the manual,Capability to persuade other people,Believes in your decision without making reference to the manual
