Question,Option A,Option B,Option C,Option D,Correct Answer
D= +0.009 30mm -0.004. The tolerance is?,0.005 mm,0.013 mm,0.006mm,,0.013 mm
"What type of fit as below: HOLE with dimension diameter 30 MM, UPPER DEVIATION 0.09MM, LOWER DEVIATION -0.02MM. SHAFT with dimension diameter 29.8mm, UPPER DEVIATION 0.05MM, LOWER DEVIATION -0.06MM",CLEARANCE FIT,TRANSITION FIT,INTERFERENCE FIT,,CLEARANCE FIT
"What type of fit as below: HOLE with dimension diameter 30 MM, UPPER DEVIATION 0.09MM, LOWER DEVIATION -0.02MM; SHAFT with dimension diameter 30MM, UPPER LIMIT 0.01MM, LOWER LIMIT -0.05 MM",CLEARANCE FIT,TRANSITION FIT,INTERFERENCE FIT,,TRANSITION FIT
"What type of fit as below: HOLE with dimension diameter 30 MM, UPPER DEVIATION 0.06MM, LOWER DEVIATION -0.02MM; SHAFT with dimension diameter 30.5MM, UPPER DEVIATION 0.08MM, DEVIATION LIMIT 0.02 MM",CLEARANCE FIT,TRANSITION FIT,INTERFERENCE FIT,,INTERFERENCE FIT
"In case of clearance fit, what is maximum clearance is",Result if a shaft at the lower limit diameter is joined with a hole at the upper limit diameter,Result through a combination of upper limit diameter shaft and lower limit diameter hole.,The difference between the diameters of a shaft and a hole if the shaft diameter is larger then the hole diameter,,Result if a shaft at the lower limit diameter is joined with a hole at the upper limit diameter
"In case of clearance fit, what is minimum clearance is","In case of clearance fit, what is minimum clearance is (page 4)",Result through a combination of upper limit diameter shaft and lower limit diameter hole.,The difference between the diameters of a shaft and a hole if the shaft diameter is larger then the hole diameter,,Result through a combination of upper limit diameter shaft and lower limit diameter hole.
How many types of fit does the components joined together?,2,3,4,,3
Which type of stress often occur if shafts and bearings absorb and transmit loads through the flight operation?,WEAR,TENSION,BEARING,,WEAR
"Depending on the application, the joined components are produced with a specific clearance or interference. Therefore it is made a difference between the types of fits:","Interference fit, clearance fit, transition fit","Interference fit, transition fit","Clearance fit, transition fit",,"Interference fit, clearance fit, transition fit"
What requirements and general selection criteria for repair work with a splice are correct?,"As a general rule, replacement should always be preferred to repair","A maximum of four repair splices are permitted in one wire, the ones mounted during aircraft construction are not relevant.","Whenever more than one splice assembly is necessary during repair, the separation minimum of the splices is 0.5 inches.",,"As a general rule, replacement should always be preferred to repair"
"Refer to the repair classification and select the repair depending on the repair grade, What does the grade 2 mean?",No repair is necessary (permitted damage).,Permanent repair.,A check of the repair is necessary at each C−check.,,A check of the repair is necessary at each C−check.
What is tool for testing crimping tool?,Hydraulic crimping tool,Go/No-go testing tool,Turret,,Go/No-go testing tool
"Refer to the repair classification and select the repair depending on the repair grade, What does the grade 0 mean?",No repair is necessary (permitted damage).,Permanent repair.,A check of the repair is necessary at each C−check.,,No repair is necessary (permitted damage).
"Refer to the repair classification and select the repair depending on the repair grade, What does the grade 1 mean?",No repair is necessary (permitted damage).,Permanent repair.,A check of the repair is necessary at each C−check.,,Permanent repair.
"Refer to the repair classification and select the repair depending on the repair grade, What does the grade 2 mean?",No repair is necessary (permitted damage).,Permanent repair.,A check of the repair is necessary at each C−check.,,A check of the repair is necessary at each C−check.
"Refer to the repair classification and select the repair depending on the repair grade, What does the grade 3 mean?",No repair is necessary (permitted damage).,"Temporary repair only, replace with new wire in accordance with the basic definition within 20 months but preferably at subsequent C check.",A check of the repair is necessary at each C−check.,,"Temporary repair only, replace with new wire in accordance with the basic definition within 20 months but preferably at subsequent C check."
How to bend the insulated terminal for installation in restricted spaces?,A maximum angle is 90 degrees,A maximum angle is 60 degrees,A maximum angle is 30 degrees,,A maximum angle is 90 degrees
How to bend the insulated terminal for installation on a terminal block?,A maximum angle is 90 degrees,A maximum angle is 60 degrees,A maximum angle is 30 degrees,,A maximum angle is 30 degrees
How many types of pressure seals are used?,1,2,3,,2
Hot gas area are?,"Engines, Pylons/Struts, APU Compartments, Air-condition Bay, Front Spar and everywhere where bleed ducts are located","Engines, APU Compartments, Air-condition Bay, Front Spar and everywhere where bleed ducts are located","Engines, Pylons/Struts, APU Compartments, Front Spar and everywhere where bleed ducts are located",,"Engines, Pylons/Struts, APU Compartments, Air-condition Bay, Front Spar and everywhere where bleed ducts are located"
Types of riveted joints include?,"Lap Joint single shear, Butt Joint single shear, Butt Joint double shear.","Butt Joint single shear, Butt Joint double shear.","Lap Joint single shear, Butt Joint single shear.",,"Lap Joint single shear, Butt Joint single shear, Butt Joint double shear."
The margin between the rivet and the edge of the element has a major influence on the fatigue strength of the riveted joint as recorded in which of the following documents?,IPC Chapter 51,AMM Chapter 51,SRM Chapter 51,,SRM Chapter 51
How to calculate the rivet diameter?,"Rivet diameter of 2,5−4 times the thinnest sheet thickness is selected.","Rivet diameter of 4−5,5 times the thinnest sheet thickness is selected.","Rivet diameter of 4,5−6 times the thinnest sheet thickness is selected.",,"Rivet diameter of 2,5−4 times the thinnest sheet thickness is selected."
Edge margin depends only on which rivet size?,Rivet length,Rivet diameter,Rivet material,,Rivet diameter
Edge Margin is the distance between?,Distance between rivet centre and the element’s edge.,Distance between rivets rows,Distance between rivets and edge of the element,,Distance between rivet centre and the element’s edge.
"The selection of rivets with regard to material, head and diameter is affected by which of the following factors?","Material type of the to be connected elements, Amount of transmitted loads, Material thickness of the structural element","Material type of the to be connected elements, Installation location of the component, Amount of transmitted loads, Material thickness of the structural element","Material type of the to be connected elements, Installation location of the component, Material thickness of the structural element",,"Material type of the to be connected elements, Installation location of the component, Amount of transmitted loads, Material thickness of the structural element"
How to calculate the bolt and pin hole pitch value?,4−5 times the rivet diameter,4−5 times the rivet length.,4−6 times the rivet diameter.,,4−5 times the rivet diameter
"Spacing or Row Spacing of solid rivets is the distance between fastener rows, taken from the hole centres. How to calculate the spacing?",4 to 8 diameter of rivet,4 to 5 diameter of rivet,6 to 8 diameter of rivet,,4 to 5 diameter of rivet
The Edge Margin/Edge Distance for the solid rivets hole edge distance values are from the centre of one fastener hole to the nearest edge of the component. How to calculate them?,"Normally 2 to 2,5 times the rivet diameter.","Normally 2 to 2,2 times the rivet diameter.",Normally 3 to 4 times the rivet diameter.,,"Normally 2 to 2,5 times the rivet diameter."
The rivet length allowance depends on,Head of rivet,Rivet material,Rivet diameter,,Rivet material
The strength of a riveted joint compared to that of the original metal is (two-row lap joint)?,20% of the load,40% of the load,50% of the load,,50% of the load
The strength of a riveted joint compared to that of the original metal is ( three-row joint the outer rows)?,20% of the load,40% of the load,50% of the load,,40% of the load
The strength of a riveted joint compared to that of the original metal is ( three-row joint the inner row)?,20% of the load,40% of the load,50% of the load,,20% of the load
"When install Hi-lock, how to calculate the length of Hi Lok/Hilite?","Body shank of rivet with type universal head, head and body shank of rivet with CSK",Body shank and thread of rivet,"Body shank, thread and diameter of rivet",,"Body shank of rivet with type universal head, head and body shank of rivet with CSK"
Installation type of Flush Head Fastener,100 degree countersink,90 degree countersink,"Normally a 100 degree countersink is used, but there can be exceptions depending on the fastener.",,"Normally a 100 degree countersink is used, but there can be exceptions depending on the fastener."
"If the flush head height is larger than the material thickness of the part, the cylindrical remaining hole will has alway to stay ...... (AIRBUS)","Min. 0,5mm","Min. 0,4mm","Min. 0,2mm",,"Min. 0,2mm"
The forming of the upset head also the hitting time is important for the later lifetime of the rivet joint noticed in the Airbus SRM?,"Upset head in 3−4 sec. is optimal, but has to be finished not later than 7 sec.","Upset head in 3−4 sec. is optimal, but has to be finished more than 7 sec.","Upset head in 3-4 sec. is optimal, but has to be finished not later than 10 sec",,"Upset head in 3−4 sec. is optimal, but has to be finished not later than 7 sec."
"What is the minimum rivet upset for nominal 4mm ( 0.157 in.) diameter rivet ( applicable 2017A, 2024,2117, 7050, 3.1124 and 3.1324 rivets )?",5mm ( 0.157 in.),7.3mm ( 0.287 in.),6mm ( 0.236 in.),,6mm ( 0.236 in.)
The size and the punch of the rivet gun and the mass of the dolly depend:,The rivet material and the accessibility of the structure.,The rivet diameter and the accessibility of the structure.,"The rivet diameter, The rivet material and the accessibility of the structure.",,"The rivet diameter, The rivet material and the accessibility of the structure."
The mass of the dolly depends on the following factors:,The rivet diameter and the rivet material,The rivet diameter and the rivet length.,The rivet length and the rivet material,,The rivet diameter and the rivet material
How much weight should be used when riveting 4 mm (5/32 inch ) diameter rivets?,0.75 to 1.5 kg,1.5 to 2 kg,"2,25 to 3 kg",,1.5 to 2 kg
Some common defects/causes of damage in upset head rivet. Which statement is most correct?,"Too small upset head, Too large upset head, Rivet shaft drops during squeezing, Cracks in upset head.","Too small upset head, Too large upset head, Die head does no set right, Rivet shaft drops during squeezing.","Too small upset head, Too large upset head, Die head does no set right, Rivet shaft drops during squeezing, Cracks in upset head.",,"Too small upset head, Too large upset head, Die head does no set right, Rivet shaft drops during squeezing, Cracks in upset head."
The removal of rivets is described in SRM chapter:,SRM chapter 51-43,SRM chapter 51−40,SRM chapter 53-40,,SRM chapter 51−40
The process of removal rivets follows the following steps:,Step 1: Drill heat only as for as shown below in dotted line. Step 2: Center punch rivet heat to provide location for drill tip. Step 3: Remove the heat of the rivet with a tight-fitting parallel drift which is moved at an angle to one side. Step 4: Remove the remainder of the rivet with the parallel drift used before.,Step 1: Center punch rivet heat to provide location for drill tip. Step 2: Drill heat only as for as shown below in dotted line. Step 3: Remove the remainder of the rivet with the parallel drift used before. Step 4: Remove the heat of the rivet with a tight-fitting parallel drift which is moved at an angle to one side.,Step 1: Center punch rivet heat to provide location for drill tip. Step 2: Drill heat only as for as shown below in dotted line. Step 3: Remove the heat of the rivet with a tight-fitting parallel drift which is moved at an angle to one side. Step 4: Remove the remainder of the rivet with the parallel drift used before.,,Step 1: Center punch rivet heat to provide location for drill tip. Step 2: Drill heat only as for as shown below in dotted line. Step 3: Remove the heat of the rivet with a tight-fitting parallel drift which is moved at an angle to one side. Step 4: Remove the remainder of the rivet with the parallel drift used before.
Cracks are NOT permitted in the upset heats rivet?,Aluminum or monel rivets,Titanium or monel rivets,Titanium or Aluminum rivets,,Titanium or monel rivets
"Adjustment of the Punch, proceed as follows:",1. Set in the rivet set with the locking feather into the rivet gun and lock the feather; 2. Slowly pull the trigger entirely and at the same time adjust the punch to the desired level with the controller.,1. Set in the rivet set with the locking feather into the rivet gun and lock the feather; 2. Connect the rivet gun to the air source and put it perpendicular on a wooden plate.,1. Set in the rivet set with the locking feather into the rivet gun and lock the feather; 2. Connect the rivet gun to the air source and put it perpendicular on a wooden plate; 3. Slowly pull the trigger entirely and at the same time adjust the punch to the desired level with the controller.,,1. Set in the rivet set with the locking feather into the rivet gun and lock the feather; 2. Connect the rivet gun to the air source and put it perpendicular on a wooden plate; 3. Slowly pull the trigger entirely and at the same time adjust the punch to the desired level with the controller.
Tube line must not be bent back for correction,TRUE,FALSE,Depends on the application,,TRUE
"Before bending of tube, it is advised that the tube’s pre-cut is …...... the desired length",The same,Shorter than,Longer than,,Longer than
"Bending of the first 90° Bend, If the tube is aligned, the tube is pulled with a constant force by the swivel handle around the form wheel until the 0° marking of the guide matches with …...... marking of the form wheel",The 45°,The 90°,The 60°,,The 90°
After Installation of fluid tubes. The system are normally pressure tested to,Maximum working pressure.,2 times maximum working pressure.,1½ times maximum working pressure.,,1½ times maximum working pressure.
The clamps most commonly-encountered are,The metal cushioned clamps,The nylon clamps,The rubber cushioned clamps and the plain clamps,,The rubber cushioned clamps and the plain clamps
"When installing a bonded clamp, ensure any paint or anodizing is …....... from the line where the clamp is fitted for electrical continuity",Removed,Covered,Restored,,Removed
Fitted hoses must meet the following requirements:,Tensile stress on the fittings is permitted.,They must twist when the end-fittings are tightened.,Tensile stress on the fittings is not permitted and they must not twist when the end-fittings are tightened,,Tensile stress on the fittings is not permitted and they must not twist when the end-fittings are tightened
The bend radius required increases when the hose has to carry out movements in the operating condition,TRUE,FALSE,Depends on the application,,TRUE
"Hose Installation IAW AMM A380, Minimum distance between hose and structure:",6 mm,12 mm,18 mm,,12 mm
To ensure that pipe and hose assemblies do not leak due to loose connections,Position the torque wrench on the sleeve nut,Position the countertorque wrench on the fitting,Position the torque wrench on the sleeve nut and Position the countertorque wrench on the fitting,,Position the countertorque wrench on the fitting
Springs are elastic devices variously used for,Storing and furnishing energy; Creating shocks,Sustaining the pressure between contacting surfaces; Extending tensional or compressional stress,Storing and furnishing energy; Absorbing shocks and Sustaining the pressure between contacting surfaces; Resisting tensional or compressional stress,,Storing and furnishing energy; Absorbing shocks and Sustaining the pressure between contacting surfaces; Resisting tensional or compressional stress
What type of spring is used for stores energy?,A helical (or coil) spring,A torsion spring,A disk spring,,A torsion spring
"The springs are commonly used for the same purpose in motor cars, as are leaf springs that consist of flat bars clamped together",Disk springs,Balancing springs,Coil springs,,Coil springs
"When Checking Springs for Wear, the special care should be given to",The hooks where they connect to their mounting points,The tension of springs,The extension springs,,The hooks where they connect to their mounting points
"Measuring the Spring Tension, The way to do this is to compress or pull that depends on",The material,The spring type,The radius of spring,,The spring type
"The spring tension should then be within the limits given in the manufacturers datasheet. If a spring is out of limit, the spring has to be",Replaced,Adjusted,Repaired,,Replaced
How many basic types of anti−friction bearings,3,4,5,,5
"Sliding bearings are resistant to push forces, they create a lot of noise",They create very less noise,Yes,Depends on the application,,They create very less noise
A tapered roller bearing is designed to take,Axial loads only,Both radial and axial loads,Radial loads only,,Both radial and axial loads
Which of the following bearings carry thrust load in one direction?,Spherical roller thrust bearings and Tapered roller bearings,Spherical roller thrust bearings,Tapered roller bearings,,Spherical roller thrust bearings
Which of this is not an anti friction bearing?,Solid bearing,Ball bearing,Roller bearing,,Solid bearing
A potentially fire hazard is typically caused by,Lubricating bearings,Over-grease bearings,High-speed bearings,,Over-grease bearings
"Overheating Symptoms are discolouration of the rings, balls and cages from",Gold to blue,Blue to gold,Blue to red,,Gold to blue
Angular contact bearings are designed to accept an axial load in one direction only. The result of opposite loading is,Excessive stress only,An increase in temperature only,Excessive stress and an increase in temperature,,Excessive stress and an increase in temperature
What are symptoms of corrosion?,Red/brown areas on balls only,Cages or bands of ball bearings only,Red/brown areas on balls; and cages or bands of ball bearings,,Red/brown areas on balls; and cages or bands of ball bearings
"Bearing defects and their causes, what are symptoms of tight fits?",Bent shafts,Outer ring slippage caused,"Discoloured, wide ball path at bottom of raceways",,"Discoloured, wide ball path at bottom of raceways"
A chain drives is used for,A short distances between the connected axes exist,A medium distances between the connected axes exist,A large distances between the connected axes exist,,A large distances between the connected axes exist
"After installation in the aircraft, the chains should be further",Lubricated,Cleaned,Tensioned,,Lubricated
The wheel or pulley mountings should be examined to ensure that,The wheels or pulleys are firmly loosen to the shafts or spindles,They are not correctly located and running freely,They are firmly secured to the shafts or spindles and correctly located and running freely,,They are firmly secured to the shafts or spindles and correctly located and running freely
When should chain assemblies be inspected for serviceability?,Monthly,At the relevant Maintenance Schedule,Weekly,,At the relevant Maintenance Schedule
Where is the tension of the chain performed at,Turnbuckles,Screwed end connectors,Turnbuckles and screwed end connectors,,Turnbuckles and screwed end connectors
"If the chain is worn so that the links are loose and can be lifted away from the wheel teeth, it should be removed and checked for",Excessive elongation,Excessive tension,Excessive twist,,Excessive elongation
"Checking Elongation, if the extension is in excess of 2% on any section of the chain",The specific section should be replaced,The whole chain run should be replaced.,The specific section should be adjusted,,The whole chain run should be replaced.
Main types of damage in roller chain are,Cracks and wear,Corrosion and pitting,Cracks; wear; corrosion and pitting,,Corrosion and pitting
What can affect the amount of the backlash in a pair of mating gears,Changes in centre distance; variance in tooth thickness; temperature ranges,Temperature ranges only,Variance in tooth thickness only,,Changes in centre distance; variance in tooth thickness; temperature ranges
What is the purpose of backlash?,To help gears from jamming and making contact on both sides of their teeth simultaneously.,To prevent for lubricant space and differential expansion between the gear components and the housing.,To prevent gears from jamming and making contact on both sides of their teeth simultaneously. Also it provides for lubricant space and differential expansion between the gear components and the housing.,,To prevent gears from jamming and making contact on both sides of their teeth simultaneously. Also it provides for lubricant space and differential expansion between the gear components and the housing.
"All cables in an aircraft, especially control cables, require careful inspection at",Airlines request,Pilots request,Regular intervals,,Regular intervals
Which statement is correct?,"Check no broken wires, move a cloth along the cable, in two directions.","Check no broken wires, make a special inspection to find the broken wires","Check no broken wires, move a plastic along the cable, in any direction.",,"Check no broken wires, move a cloth along the cable, in two directions."
Installed cable lines have to be tightened to a certain tension depending on,Location only,Purpose only,Cable lines's location and purpose,,Cable lines's location and purpose
What is function of a turnbuckle?,To replace the cable,To adjust the cable tension,To examine and adjust the cable tension,,To adjust the cable tension
The Cable tension values to be adjusted for the individual aircraft types are specified in,The respective Cables Manufacture,The respective AMMs,The respective CMMs,,The respective AMMs
What is statement correct?,The tensiometer is a precision instrument,The tensiometer must be calibrated,The tensiometer is a precision instrument and must be calibrated annually.,,The tensiometer is a precision instrument and must be calibrated annually.
"Cleaning of contaminated Cables, What is statement correct?",Possible pollution on cable lines must only be removed with a clean and dry cloth.,Possible pollution on cable lines must only be removed with degreasing,Possible pollution on cable lines must only be removed with solvent agents,,Possible pollution on cable lines must only be removed with a clean and dry cloth.
"A suspected chemical spillage on a cable, you should",Replace the cable,Clean the cable and inspect 24 hours later,"Clean, inspect and refit immediately",,Replace the cable
"Teleflex control system, the cable is designed for transmitting both pull and push. How many type of cable in use?",1,2,3,,2
"For transmitting light loads over short distances, which cable system is used for?",Bowden control systems,Teleflex control systems,Teleflex control and bowden control systems,,Bowden control systems
The least bend radius varies depending on,Material and thickness of plate only,Direction of plate only,Material and thickness of plate and direction of plate,,Material and thickness of plate and direction of plate
Defining the minimum bend radius,"So it has to be checked before bending if the component is adequate, in regard to the material, the section, the bending radius and the bending angle. The guide is the minimum bend radius.",The outside of the bend radius.,Which means you use the smallest punch nose radius you have available to work with,,"So it has to be checked before bending if the component is adequate, in regard to the material, the section, the bending radius and the bending angle. The guide is the minimum bend radius."
"When a piece of metal is bent, the surface of the metal on the outside of the bend is.",In compression,Neither in tension or in compression,In tension,,In tension
The sharpest bend that can be placed in a piece of metal without critically weakening the part is called the.,Bend allowance.,Minimum radius of bend.,Maximum radius of bend.,,Minimum radius of bend.
"In sheet metal bending, how would you measure the bend radius to calculate the bend allowance?",Measure to the outside of the bend radius.,Measure to the inside of the bend radius.,Measure to the inside of the bend radius plus half the metal thickness.,,Measure to the inside of the bend radius.
Bend radius on sheet metal is,Inside radius + ½ thickness.,Outside radius.,Inside radius.,,Inside radius.
In marking a light alloy.,A pencil is used to mark the material and all marks removed after bending.,The scriber must be held at an angle to give a smooth line where bending is required.,Caustic soda is used.,,A pencil is used to mark the material and all marks removed after bending.
"Bending Process. It is advisable to perform straight line bending at a constant and …....... speed to enable the material to flow, without a damage of the material",Slow,Fast,Moderate,,Moderate
The surface has always to be protected against any damages. Surface markings are only allowed to be made with,A punch,A soft lead pencil,A pen,,A soft lead pencil
"When bending titanium it is even necessary to …..... the edges of the sheet, because otherwise cracking may occur at the bending radius area.",Cut,Saw,Polsh,,Polsh
"Before the bending the outer, inner and neutral fibre have the same length. After the bending the outer fibre is elongated and the inner fibre is …......",Compressed,Extended,Not change,,Compressed
The bend allowance is,Determined with the help of the neutral fibre,Caused by the bending radius,Not the length reduction,,Caused by the bending radius
The bend allowance (V) is changed by influencing factors:,"Only the Bend radius R, Material thickness S","Only material thickness S, Bending angle α","The Bend radius R, Material thickness S, Bending angle α",,"The Bend radius R, Material thickness S, Bending angle α"
"The bend allowance (V) is negative, if the bending angle is:",A“ = 0° upto 115°,A“ = 115° upto 145°,A“ = 115° upto 180°,,A“ = 0° upto 115°
About Folding Machine. The edge rail:,Holds the sheet between the adjustable clamping bar and the fixed lower leaf.,Carries the radius bar,Moves the sheet around the radius of the radius bar,,Moves the sheet around the radius of the radius bar
Adjust the distance between the bending line and the sheet edge via,A square set,A vernier calliper,A angle meter,,A vernier calliper
About spring back. The spring back factor:,Allows you to determine the bend’s actual inside radius,Tells you how far past 90 degrees you need to bend to compensate for spring back,Helps predict spring back.,,Allows you to determine the bend’s actual inside radius
"Bending by hammering, The application area is mostely limited to",Thin sheets and soft materials.,Soft materials.,Thin sheets,,Thin sheets and soft materials.
"When working with composite materials, where is the correct safety precautions on",Vendor website,Material safety data sheets,Vendor Information,,Material safety data sheets
Fibre Reinforced Composites are composed of fibres embedded in …....... material,Matrix,Plastic,Metallic,,Matrix
Following is (are) the reinforcement form of composites,Fibre reinforced composites only,Laminar composites only,Fibre reinforced composites and laminar composites,,Fibre reinforced composites and laminar composites
Which of the following require heat to cure the composite,Glass fibre,Resin and hardener,Aramid fibre,,Resin and hardener
A room temperature curing is done between,18° - 25°,10° - 15°,15° - 30°C.,,18° - 25°
"During the hot bonding process, Overheating can also result",Debonding only,Delamination only,Debonding and delamination,,Debonding and delamination
Which of the following can be used with vacuum bagging to hold the heat directly onto the surface.,Heat Lamps,Heating Blankets,Heat Guns,,Heating Blankets
A hot patch bonding machine performs the following function:,It applies pressure,It applies heat,It applies pressure and heat,,It applies pressure and heat
Defining the soak curing,Once the repair has been heated that this temperature be held for a specific amount of time.,"Once the repair has been heated that the temperature be reached at a slow, constant rate of change from room temperature at 4°C per minute",Once the repair has been heated that the temperature climbs are done in certain time intervals,,Once the repair has been heated that this temperature be held for a specific amount of time.
"What does ""NDT"" stand for",Non-driving test,Non-destructive test,Non-dry test,,Non-destructive test
Which of the following is a NDT method,Stress testing,Hardness testing,Radiography,,Radiography
Tap-testing is widely used for the quick evaluation of any accessible aircraft surfaces to detect presence of,Debonding only,Entrapped water,Debonding and delamination,,Debonding and delamination
Which of the these optical aids can be used in direct visual examination?,Cameras,Mirrors,Optical tool (rigid or flexible),,Mirrors
Borescope are typically use in,Remote visual examination,Translucent visual examination,Direct visual examination,,Remote visual examination
Ultrasonic inspection is done in materials to determine,Cracks below the surface,Yiels strangth,Ultimate tensile strangth,,Cracks below the surface
"Ultrasonic Testing, the time delay of the reflected pulse is related to the depth of defects in:",The composite part,The metal part,The wood part,,The composite part
A term used to describe the ability of an ultrasonic testing system to distinguish between the entry surface response and the response of discontinuities near the entry surface is:,Sensitivity,Resolution,Penetration,,Resolution
