Question,Option A,Option B,Option C,Option D,Correct Answer
Why do aluminum alloys get hardened after a heat treatment process?,The aluminum lattice structure gets distorted by precipitations formed by wandering foreign atoms inside them.,The aluminum lattice structure gets uniformed by precipitations formed by wandering foreign atoms inside them.,The aluminum lattice structure gets crystalized by precipitations formed by wandering foreign atoms inside them.,,The aluminum lattice structure gets distorted by precipitations formed by wandering foreign atoms inside them.
Which is not an aging method for aluminum alloys?,Natural aging,Forced aging,Artificial aging,,Forced aging
After soft annealing:,The parts can be installed on the aircraft,The parts have to be quenched,The parts have to be heat treated again,,The parts have to be heat treated again
Which is not a valid temper designation?,2117-T2,2014-T3,7175-T6,,2117-T2
Which of these materials are easiest to form with?,2024-W,2024-F,2024-O,,2024-O
Which is not a possible temper designation?,2024-W,2024-O,2024-H,,2024-H
Which is a possible temper designation?,5052-T3,5052-W,5052-H,,5052-H
ALCLAD 7075-T6511 is:,"Solution annealed, quenched, stretched, straightened, artificially aged.","Solution annealed, quenched, straightened, stretched, artificially aged.","Solution annealed, quenched, bended, stretched, straightened, artificially aged.",,"Solution annealed, quenched, stretched, straightened, artificially aged."
The difference between T42 and T62 temper designation is:,The annealing process,The quenching process,The aging process,,The aging process
"Compared to T6, T61:",Has more strength,Can be welded,Is more ductile,,Is more ductile
The process to make ALCLAD 2024-T42 from ALCLAD 2024-T3 is?,"Soft annealing, solution annealing, quenched, naturally aged.","Soft annealing, solution annealing, quenched, stress relieved by stretching, naturally aged.","Soft annealing, solution annealing, quenched, stress relieved by compressing, naturally aged.",,"Soft annealing, solution annealing, quenched, naturally aged."
Glare is a material consists of aluminum and:,Carbon fiber prepreg,Aramid fiber prepreg,Glass fiber prepreg,,Glass fiber prepreg
How many standard grades of glare are there?,4,5,6,,6
Which properties make it so that glare is better than aluminum alloys at protecting the load carrying structure underneath the skin?,Good impact properties,Good fatigue resistance,Good damage tolerant properties,,Good impact properties
What does CFRP mean?,Carbon Fibre Reinforced Plastic,Ceramic Fibre Reinforced Plastic,Composite Fibre Reinforced Plastic,,Carbon Fibre Reinforced Plastic
Composite is describe as:,Three or more materials that are combined to form a much stronger structure than either material by itself,One or more materials that are combined to form a much stronger structure than either material by itself,Two or more materials that are combined to form a much stronger structure than either material by itself,,Two or more materials that are combined to form a much stronger structure than either material by itself
The advantages of composite materials are:,"High strength-to-weight ratio, Reduction of parts and fasteners, Reduction of wear, Easy to repair.","High strength-to-weight ratio, Reduction of parts and fasteners, Reduction of wear, Corrosion resistance.","High strength-to-weight ratio, Reduction of parts and fasteners, Reduction of wear, Generally expensive",,"High strength-to-weight ratio, Reduction of parts and fasteners, Reduction of wear, Corrosion resistance."
The disadvantages of composite materials are:,"Generally expensive. Not easy to repair; you need well-trained staff, tools, equipment and facilities to repair composite components.","Generally expensive. Easy to repair; you need well-trained staff, tools, equipment and facilities to repair composite components.","Generally cheap. Easy to repair; you don't need well-trained staff, tools, equipment and facilities to repair composite components.",,"Generally expensive. Not easy to repair; you need well-trained staff, tools, equipment and facilities to repair composite components."
Reinforcing materials are include:,"Fibreglass, Aramid, Graphite","Fibreglass, Aramid, Kevlar","CFRP, Aramid, Graphite",,"Fibreglass, Aramid, Graphite"
Prepreg fibers are:,These fibres are impregnated with resin.,These fibres are already impregnated with resin in the production process and then heated very fast.,These fibres are already impregnated with resin in the production process and then cooled down very fast.,,These fibres are already impregnated with resin in the production process and then cooled down very fast.
What are the characteristics of the honeycomb core material?,Has a rectangle shape and has a excellent strength-to-weight ratio.,Has a natural honeycomb shape and has excellent strength-to-weight ratio.,Has a circle shape and has excellent strength-to-weight ratio.,,Has a natural honeycomb shape and has excellent strength-to-weight ratio.
What is the main material of the tailplane and elevator on an A320 aircraft?,Aluminium alloy,AFRP,CFRP and GFRP,,CFRP and GFRP
"The effectiveness of an adhesive depends on several factors, including:","Resistance to slippage and shrinkage, Malleability, Cohesive strength and Adhesion","Resistance to slippage and shrinkage, Cohesive strength and Adhesion","Resistance to slippage and shrinkage, Malleability",,"Resistance to slippage and shrinkage, Malleability, Cohesive strength and Adhesion"
What are film adhesives used for?,"Bonding metal to metal, sandwich core to skin and GFRP, AFRP and CFRP",Bonding GFRP to AFRP and CFRP,"Bonding sandwich core to GFRP, AFRP and CFRP",,"Bonding metal to metal, sandwich core to skin and GFRP, AFRP and CFRP"
The film adhesive has to be stored,Under refrigeration at 0°C,At room temperature.,Under refrigeration at −18°C,,Under refrigeration at −18°C
The two main types of resin used as a matrix are:,Thermoplastic resins and polyester resin,Thermosetting resin and thermoplastic resin,Epoxy resins and phenolic resins,,Thermosetting resin and thermoplastic resin
Aramid fibres are also known as:,KEVLAR,Graphite,Silica,,KEVLAR
Which type of fibre causes aluminum corrosion?,Aramid fibre,carbon fibre,Glass fibre,,carbon fibre
Which type of resin is not used on composite structures?,Epoxy resins,Phenolic resins,Thermoplastic resins,,Thermoplastic resins
The disadvantages of epoxy resins are?,"Toxic, low pot and shelf−life, high cost","Non-toxic, low pot and shelf−life, high cost","Toxic, long pot and shelf−life, high cost",,"Toxic, low pot and shelf−life, high cost"
"When you mix the recommended amount of hardener into resin, the part will be",Cured,Sticky,Unreacted,,Cured
The most simple composite is composed of,A metallic and a non-metallic material,A matrix and a reinforcing material,A metallic and reinforcing material,,A matrix and a reinforcing material
The production methods of plastics include:,"Polyester, polycondensation, polyaddition","Polymerisation, polyamides, polyurethanes","Polymerisation, polycondensation, polyaddition",,"Polymerisation, polycondensation, polyaddition"
Which aircraft has its whole airframe made out of composite materials?,Airbus A321,Airbus A330,Boeing B787,,Boeing B787
Which fibre is used mainly for new Airbus aircraft radome?,QFRP,CFRP,AFRP,,QFRP
Which material is used to manufacture primary structural components?,CFRP,AFRP,GFRP,,CFRP
Styles of fabrics are include:,"Roving, warp-reinforced fabric, fabrics","Roving, mats, fabrics","Roving, warp-reinforced fabric, linen fabrics",,"Roving, mats, fabrics"
Bonding prepreg is used,To connect GFRP laminates,To connect CFRP laminates,To connect GFRP laminates with honeycombs or sheet metal parts.,,To connect GFRP laminates with honeycombs or sheet metal parts.
How many percent of resin are there in a standard prepreg?,18 to 20%,0.38,0.5,,0.38
What is a sandwich construction?,"A core is bonded between two thin-face sheets, providing a rigid, lightweight component","A core is bonded with one thin-face sheet, providing a rigid, lightweight component","Two thin-face sheets are bonded together, providing a rigid, lightweight component",,"A core is bonded between two thin-face sheets, providing a rigid, lightweight component"
Core material is include,Foam and adhesive film,Foam and resin,Foam and honeycomb core,,Foam and honeycomb core
Nomex core is made from:,Aluminium,A paper-impregnated material,Carbon,,A paper-impregnated material
Which adhesive has to evaporate one of its components to cure?,Solvent adhesives,Contact adhesives,Dispersion adhesives,,Solvent adhesives
Which of the following are commonly used thixotropic agents?,Micro-balloons and glass fibre,Micro-balloons and carbon fibre,Micro-balloons and aerosil.,,Micro-balloons and aerosil.
The two main types of thermosetting resin used for composite structures are:,Epoxy resins and Phenolic resins,Thermoplastic resins and Polyester resin,Epoxy resins and thermoplastic resins,,Epoxy resins and Phenolic resins
Epoxy resins will cure at:,Room temperature or high temperature,At 0°C,Room temperature,,Room temperature or high temperature
"When the matrix and the reinforcing material are combined and cured,","The part is weaker than the fabric is by itself, and weaker than the resin is by itself.","This condition would result in a weak product, and in extreme cases the epoxy would remain sticky.","The part is stronger than the fabric is by itself, and stronger than the resin is by itself.",,"The part is stronger than the fabric is by itself, and stronger than the resin is by itself."
Which form are the matrix and the reinforcing generally in?,The matrix is generally in gas form and the reinforcing material is a solid,The matrix is generally in liquid form and the reinforcing material is a solid,The matrix is generally in solid form and the reinforcing material is a liquid,,The matrix is generally in liquid form and the reinforcing material is a solid
Surface treatment of composite materials includes,and Heat treatment,Heat treatment and Painting,Chromic Acid Anodizing (CA,,Electrical Bonding and Painting
How many main types of resin are used as a matrix?,2 types,3 types,4 types,,2 types
Which type of resin is not currently utilized on composite structures?,Epoxy resins,Thermoplastic resins,Phenolic resins,,Thermoplastic resins
Which factors have a positive effect on surface wetting?,"Removal of surface contamination, Viscosity reduction through application of heat, Time and pressure at the bonding point.","Fingerprints left on adherent surfaces, Residues not removed from the adherent surfaces, Low temperatures, Incorrect or no surface pre-treatment.","Removal of surface contamination, Time and pressure at the bonding point, Low temperatures",,"Removal of surface contamination, Viscosity reduction through application of heat, Time and pressure at the bonding point."
Which factors have a negative effect on surface wetting?,"Removal of surface contamination, Viscosity reduction through application of heat, Time and pressure at the bonding point.","Fingerprints left on adherent surfaces, Residues not removed from the adherent surfaces, Low temperatures, Incorrect or no surface pre-treatment.","Removal of surface contamination, Time and pressure at the bonding point, Low temperatures",,"Fingerprints left on adherent surfaces, Residues not removed from the adherent surfaces, Low temperatures, Incorrect or no surface pre-treatment."
Which type of damage is a skin not-perforated damage?,"Abrasion, Lightning strike, Delamination, Scratches, Dents, Holes, Gouges","Abrasion, Debonding, Delamination, Nicks, Dents, Holes, Gouges","Abrasion, Debonding, Delamination, Nicks, Dents, Gouges, Scratches",,"Abrasion, Debonding, Delamination, Nicks, Dents, Gouges, Scratches"
Which type of damage is a skin perforated damage (with damage of fibres)?,"Abrasion, Delamination, Scratches, Dents, Gouges","Holes, Lightning strike, Impact by foreign object (FO","Abrasion, Debonding, Delamination, Nicks, Dents, Gouges, Scratches",,"Holes, Lightning strike, Impact by foreign object (FO"
Which of the following statements is correct about Scratch damage?,"Scratch is damage to a surface caused by scuffing, rubbing or scraping of the component. Fibres are not damaged and mechanical performance is not affected.","Scratch is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure",Scratch is the result of contact with a sharp object and only surface fibres are affected and the edges are sharp,,Scratch is the result of contact with a sharp object and only surface fibres are affected and the edges are sharp
Which of the following statements is correct about Abrasion damage?,"Abrasion is damage to a surface caused by scuffing, rubbing or scraping of the component. Fibres are not damaged and mechanical performance is not affected.","Abrasion is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure",Abrasion is the result of contact with a sharp object and only surface fibres are affected and the edges are sharp,,"Abrasion is damage to a surface caused by scuffing, rubbing or scraping of the component. Fibres are not damaged and mechanical performance is not affected."
Which of the following statements is correct about Debonding damage?,"Debonding is damage to a surface caused by scuffing, rubbing or scraping of the component. Fibres are not damaged and mechanical performance is not affected.","Debonding is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure",Debonding is the result of contact with a sharp object and only surface fibres are affected and the edges are sharp,,"Debonding is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure"
Which of the following statements is correct about Lightning Strike damage?,"The effect of a lightning strike depends on the material will not be the same. For non- conductive materials like Glass- and Aramid Fibre a large part of the component, if not completely protected, may be blown out because both skins are affected and the core generally vapourised due to the extreme heat","Lightning strike is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure","Lightning strike is when the separation of plies occurs in a multi-laminate material. This can be caused by the material being hit (impact delamination), or when there is a resin failure for any other reason.",,"The effect of a lightning strike depends on the material will not be the same. For non- conductive materials like Glass- and Aramid Fibre a large part of the component, if not completely protected, may be blown out because both skins are affected and the core generally vapourised due to the extreme heat"
Which of the following statements is correct about Delamination damage?,"Delamination is a deformity caused by extraneous forces, which are applied to the structure. This can be an impact (FO","Delamination is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure","Delamination is when the separation of plies occurs in a multi-laminate material. This can be caused by the material being hit (impact delamination), or when there is a resin failure for any other reason.",for example.,"Delamination is when the separation of plies occurs in a multi-laminate material. This can be caused by the material being hit (impact delamination), or when there is a resin failure for any other reason."
Which of the following statements is correct about Dent damage?,"A dent is a deformity caused by extraneous forces, which are applied to the structure. This can be an impact (FO","A dent is when a separation of materials, e.g. stringer to skin, occurs due to an adhesive failure","A dent is when the separation of plies occurs in a multi-laminate material. This can be caused by the material being hit (impact delamination), or when there is a resin failure for any other reason.",for example.,"A dent is a deformity caused by extraneous forces, which are applied to the structure. This can be an impact (FO"
Which of the following statements is correct about Erosion damage?,Erosion is the result of contact with a sharp object and only surface fibres are affected and the edges are sharp.,"Erosion could affect all the leading edge surfaces, especially when the initial surface protection system has been damaged. Erosion, when undetected or unrepaired, may generate composite deterioration.",Erosion principally affects the resin and is generally due to accidental contact with aggressive chemical liquids or products (e.g. hydraulic fluid).,,"Erosion could affect all the leading edge surfaces, especially when the initial surface protection system has been damaged. Erosion, when undetected or unrepaired, may generate composite deterioration."
Which of the following statements is correct about Chemical Degradation damage?,"Chemical degradation is the result of contact with a sharp object, only surface fibres are affected and the edges are sharp.","Chemical degradation could affect all the leading edge surfaces. Chemical degradation, when undetected or unrepaired, may generate composite deterioration.",Chemical degradation principally affects the resin and is generally due to accidental contact with aggressive chemical liquids or products (e.g. hydraulic fluid).,,Chemical degradation principally affects the resin and is generally due to accidental contact with aggressive chemical liquids or products (e.g. hydraulic fluid).
What testing methods can detect the presence of debonding and delamination damages?,"Tap Testing, Visual or optical inspection","Tap Testing, Ultrasonics","Penetrant, Ultrasonics",,"Tap Testing, Ultrasonics"
Which of the following statements is correct about Tap testing?,"Tap testing is only capable of finding flaws that are evident on the visible surface. Internal flaws in composites (such as delamination, disbonding and matrix crazing) are not detectable. In addition, tight surface cracks and edge delamination may not be detectable.","Tap testing is extremely sensitive in measuring small surface defects. The part to be inspected is stressed by the application of heat, a static load or vibration to bring out the effect of the flaw on the surface displacement",Tap testing is widely used for the quick evaluation of any accessible aircraft surfaces to detect presence of debonding or entrapped water.,,Tap testing is widely used for the quick evaluation of any accessible aircraft surfaces to detect presence of debonding or entrapped water.
Which of the following statements is correct about Radiography testing?,Radiography is only capable of finding flaws that are evident on the visible surface.,"The part to be inspected by radiography is stressed by the application of heat, a static load or vibration to bring out the effect of the flaw on the surface displacement.",Radiography is a NDT technique that uses X−rays or gamma rays.,,Radiography is a NDT technique that uses X−rays or gamma rays.
Which of the following statements is correct about Ultrasonics testing?,"Ultrasonic waves travel through solids and liquids at relatively high speeds, but are rapidly attenuated in gasses. The density and the elasticity of the medium may affect the wave speed.","The part to be inspected by ultrasonics is stressed by the application of heat, a static load or vibration to bring out the effect of the flaw on the surface displacement.",Ultrasonics is a NDT technique that uses X−rays or gamma rays.,,"Ultrasonic waves travel through solids and liquids at relatively high speeds, but are rapidly attenuated in gasses. The density and the elasticity of the medium may affect the wave speed."
What are the typical of repairs on Composite parts?,"Injection repair, repair of edges.",Repair of coverings and honeycombs,"Injection repair, repair of edges and repair of coverings, honeycombs",,"Injection repair, repair of edges and repair of coverings, honeycombs"
Which of the following statements is correct about Repair through Injection of Resin?,"Repair through Injection of Resin is recommended for small damages of the honeycomb material. The area is filled with thickened resin/hardener alloy and in the next step made plane. However, the repaired area has lost nearly the half of its original strength.","The repair through injection of resin is an approved repair for delamination or dissolving adhesives. If the damaged is caused by contamination or water absorption, this type of repair is not recommended.","Repair through Injection of Resin is typical for sandwich structures. It is easy to accomplish especially if the damaged parts are very small. Today two different repairs of sandwich parts can be accomplished: Repair of the covering, if only one side of the covering and/or parts of the combs are damaged; Repair of the covering, if both covering parts and the combs are damaged",,"The repair through injection of resin is an approved repair for delamination or dissolving adhesives. If the damaged is caused by contamination or water absorption, this type of repair is not recommended."
Which of the following statements is correct about Filling Repair?,"Filling Repair Resin is recommended for small damages of the honeycomb material. The area is filled with thickened resin/hardener alloy and in the next step made plane. However, the repaired area has lost nearly the half of its original strength.","Filling Repair is an approved repair for delamination or dissolving adhesives. If the damage is caused by contamination or water absorption, this type of repair is not recommended.","Filling Repair is typical for sandwich structures. It is easy to accomplish especially if the damaged parts are very small. Today two different repairs of sandwich parts can be accomplished: Repair of the covering, if only one side of the covering and/or parts of the combs are damaged; Repair of the covering, if both covering parts and the combs are damaged",,"Filling Repair Resin is recommended for small damages of the honeycomb material. The area is filled with thickened resin/hardener alloy and in the next step made plane. However, the repaired area has lost nearly the half of its original strength."
Which of the following statements is correct about the Repair of honeycombs and covering?,"Repair of honeycombs and covering is recommended for small damages of the honeycomb material. The area is filled with thickened resin/hardener alloy and in the next step made plane. However, the repaired area has lost nearly the half of its original strength.","Repair of honeycombs and covering is an approved repair for delamination or dissolving adhesives. If the damage is caused by contamination or water absorption, this type of repair is not recommended","Repair of honeycombs and covering is typical for sandwich structures. It is easy to accomplish especially if the damaged parts are very small. Today two different repairs of sandwich parts can be accomplished: Repair of the covering, if only one side of the covering and/or parts of the combs are damaged; Repair of the covering, if both covering parts and the combs are damaged",,"Repair of honeycombs and covering is typical for sandwich structures. It is easy to accomplish especially if the damaged parts are very small. Today two different repairs of sandwich parts can be accomplished: Repair of the covering, if only one side of the covering and/or parts of the combs are damaged; Repair of the covering, if both covering parts and the combs are damaged"
A category of plastic material that is capable of softening or flowing when reheated is called?,Thermoset,Thermoplastic,Thermocure,,Thermoplastic
The length and of time that a catalyzed resin will remain in a workable state is called the,Shelf life,Service life,Pot life,,Pot life
What is the purpose of the water break test?,Make sure the repair surface is clean of grease and contamination,Ensure that there is no further damage at the repair surface,Make sure the repair surface is clean of grease and contamination and no further damage at the repair surface,,Make sure the repair surface is clean of grease and contamination
What does Shelf Life mean?,Shelf Life is the length and time that a catalyzed resin will remain in a workable state,The shelf life is the time which the product is still good in an unopened container and varies from product to product,The shelf life is the time that resin remains suitable for application after it has been mixed.,,The shelf life is the time which the product is still good in an unopened container and varies from product to product
What are the effects of the Perforated Parting Film?,"To prevent the bagging materials sticking to the repair surface. The film is perforated with small holes to allow air and gases to escape from the repair piles. Some resin will escape through the holes so, for repair, it is best to choose a film with pin-pricks to reduce the resin loss. Perforated parting film will produce a shiny, resin-rich surface on the repair.","To help even-out the temperature over the entire repair, help even-out the pressure over the whole repair and improve the flatness of the surface of the repair.",To allow the air and gases to escape easily,,"To prevent the bagging materials sticking to the repair surface. The film is perforated with small holes to allow air and gases to escape from the repair piles. Some resin will escape through the holes so, for repair, it is best to choose a film with pin-pricks to reduce the resin loss. Perforated parting film will produce a shiny, resin-rich surface on the repair."
What are the effects of the Caul Plate?,"To prevent the bagging materials sticking to the repair surface. The film is perforated with small holes to allow air and gases to escape from the repair piles. Some resin will escape through the holes so, for repair, it is best to choose a film with pin-pricks to reduce the resin loss. Perforated parting film will produce a shiny, resin-rich surface on the repair.","To help even-out the temperature over the entire repair, help even-out the pressure over the whole repair and improve the flatness of the surface of the repair.",To allow the air and gases to escape easily,,"To help even-out the temperature over the entire repair, help even-out the pressure over the whole repair and improve the flatness of the surface of the repair."
What are the effects of the Breather Fabric?,"To prevent the bagging materials sticking to the repair surface. The film is perforated with small holes to allow air and gases to escape from the repair piles. Some resin will escape through the holes so, for repair, it is best to choose a film with pin-pricks to reduce the resin loss. Perforated parting film will produce a shiny, resin-rich surface on the repair.","To help even-out the temperature over the entire repair, help even-out the pressure over the whole repair and improve the flatness of the surface of the repair.",To allow the air and gases to escape easily,,To allow the air and gases to escape easily
What are the effects of the Peel Ply?,To leave a rough finish. This produces a surface which can be painted or bonded without further sanding.,To provide an easy path for air to escape and to absorb any resin which comes through the holes in the perforated parting film.,To prevent resin soaking through onto the other bagging materials and the heater blanket.,,To leave a rough finish. This produces a surface which can be painted or bonded without further sanding.
What are the effects of Non−Perforated Parting Film?,To leave a rough finish. This produces a surface which can be painted or bonded without further sanding.,To provide an easy path for air to escape and to absorb any resin which comes through the holes in the perforated parting film.,To prevent resin soaking through onto the other bagging materials and the heater blanket.,,To prevent resin soaking through onto the other bagging materials and the heater blanket.
What are the effects of the Bleeder Cloth?,To leave a rough finish. This produces a surface which can be painted or bonded without further sanding.,To provide an easy path for air to escape and to absorb any resin which comes through the holes in the perforated parting film.,To prevent resin soaking through onto the other bagging materials and the heater blanket.,,To provide an easy path for air to escape and to absorb any resin which comes through the holes in the perforated parting film.
What are the effects of the Heater Blanket?,"Heater Blanket is used to control the temperature of the repair during the warm-up, cure and cool-down stages of the repair",Heater Blanket is used to reduce heat loss and to minimise the effects of draughts on the repair,Heater Blanket is used to seal the vacuum bag to the surface of the item under repair,,"Heater Blanket is used to control the temperature of the repair during the warm-up, cure and cool-down stages of the repair"
What are the effects of the Insulation?,"Insulation is used to control the temperature of the repair during the warm-up, cure and cool- down stages of the repair",Insulation is used to reduce heat loss and to minimise the effects of draughts on the repair,Insulation is used to seal the vacuum bag to the surface of the item under repair,,Insulation is used to reduce heat loss and to minimise the effects of draughts on the repair
What are the effects of the Bag Seating Tape?,"Bag Seating Tape is used to control the temperature of the repair during the warm-up, cure and cool-down stages of the repair",Bag Seating Tape is used to reduce heat loss and to minimise the effects of draughts on the repair,Bag Seating Tape is used to seal the vacuum bag to the surface of the item under repair,,Bag Seating Tape is used to seal the vacuum bag to the surface of the item under repair
"Basically, what is corrosion?","Corrosion is defined as an undesirable, natural reaction of materials with substances in their environment",Corrosion is defined as a desired chemical reaction of materials with substances in their environment,Corrosion is a type of mechanical abrasion that reduces material thickness,,"Corrosion is defined as an undesirable, natural reaction of materials with substances in their environment"
"If there is an area with worm-like traces on the surface of the aluminum alloy, what kind of corrosion is it",Electrochemical Corrosion,Filiform Corrosion,Galvanic Corrosion,,Filiform Corrosion
Why is pitting corrosion dangerous,"Because it has no obvious signs on the surface of the metal so it is difficult to detect. In addition, the corrosion extends in the vertical direction so it reduces material strength","Because it has no obvious signs on the surface of the metal so it is difficult to detect. In addition, the corrosion extends in the horizontal direction so it reduces material strength",Because it is the most difficult type of corrosion to repair,,"Because it has no obvious signs on the surface of the metal so it is difficult to detect. In addition, the corrosion extends in the vertical direction so it reduces material strength"
"When you immerse a electrode metal bars in electrolyte fluid, what will happen with the Anode?","The dissolved ions take in electrons and deposit as metal atoms on the electrode surface, which means that the metal ions are reduced",This is an oxidation-reduction reaction,"Positively charged metal-ions are emitted to the electrolyte, and leave behind negatively charged electrodes in the metal",,"Positively charged metal-ions are emitted to the electrolyte, and leave behind negatively charged electrodes in the metal"
"When you see the white-grey powdery on surface of steel, what does it mean?",Mean nothing,This is a sign of corrosion on surface,This is the production of the oxidation on steel surface,,Mean nothing
"In a Galvanic Cell made from Zn (Anode) and Cu (Cathode), which electrode is oxidized",Cu,Zn,None,,Zn
What will happen if Austenitic steel works under high temperature?,It can lose their corrosion resistance ability,"Steel characteristics do not change, due to their high thermal strength",They will become softer,,It can lose their corrosion resistance ability
Can steels made from alloys of chromium (Cr)−nickel (Ni) and chromium−nickel-manganese be corroded?,"No, They are corrosion resistance steels","Yes, if it works under high temperature environment","Yes, after hardened only by cold-working",,"Yes, if it works under high temperature environment"
Aluminum alloy has good corrosion resistance right?,Wrong,Right,It depends on the main metal in the alloy,,Wrong
"With aluminum alloys are used on aircraft, which part plays the role of corrosion resistance",The main metal composition in the alloy will determine its corrosion resistance,"Due to the low strength of aluminium alloy, it is unsuitable for aircraft structures",A thin layer of pure aluminium on surface is a means of corrosion protection,,A thin layer of pure aluminium on surface is a means of corrosion protection
