Question,Option A,Option B,Option C,Correct Answer
1314. What is the max speed during normal towing by the tow bar tractor?,25 km/h,20 km/h,10 km/h,25 km/h
1315. What is the max speed during normal towing by the towbarless tractor?,25 km/h,32 km/h,10 km/h,32 km/h
"1316. Generally all types of damages are checked for, but essentially the main types of defect being inspected for are:",Corrosion and metal fatigue,Crack,Metal fatigue only,Corrosion and metal fatigue
1317. Any cleaning fluids used should have been approved by?,Technical department,Base maint. center,The aircraft constructor,The aircraft constructor
1318. For cleaning the use of air jets should be:,Avoided,Mandatory,Recommended,Avoided
1319. General visual inspection (GVI) is made from within?,200 cm,100 inch,Touching distance unless otherwise specified,Touching distance unless otherwise specified
1320. General visual inspection may require removal or opening of?,Fairings,Doors and fairings,Access panels and doors,Access panels and doors
"1321. For detailed inspection aids such mirrors, magnifying lenses, etc. may be used and what may be required else?",Surface cleaning only,Elaborate access only,Surface cleaning and elaborate access,Surface cleaning and elaborate access
1322. What may be required for special detailed inspection (SDI),Intricate cleaning and substantial access,Intricate cleaning only,Substantial access only,Intricate cleaning and substantial access
1323. Application of a visual Examination is only suitable for,Surface damages,Defects which move to the parts surface,Surface damages or defects which move to or along the parts surface,Surface damages or defects which move to or along the parts surface
1324. A structural damage report information have to be considered about:,"Location of damage, type of damage and extent of damage.",Location of damage only,Extent of damage only,"Location of damage, type of damage and extent of damage."
1325. All corrosion found must be immediately and completely removed because corrosion which remains will cause:,new corrosion and further decrease the strength of the structure,Paint damage,Sealant damage,new corrosion and further decrease the strength of the structure
1326. Any fasteners located within the area of corrosion and affected by the corrosion must be,Removed,Not removed,Removed if its head paint damaged,Removed
1327. Any fasteners located within the area of corrosion and affected by the corrosion must be removed due to,Possible corrosion under the fastener head or in the countersink has to be detected and removed,Possible corrosion under the fastener head has to be detected and removed,Possible corrosion under the countersink has to be detected and removed,Possible corrosion under the fastener head or in the countersink has to be detected and removed
1328. What chapter you will find out some abnormal events happen?,Chapter 5,Chapter 7,Chapter 10,Chapter 5
1329. What chapter you find out related information after lightning strike?,Chapter 27,Chapter 5,Chapter 32,Chapter 5
1330. What chapter you find out maintenance procedures after hard landing?,Chapter 12,Chapter 24,Chapter 5,Chapter 5
"1331. After severe or unusual Turbulence happened, which task you have to perform?",The structural inspection,Electrical Ops. Test,Steering ope. Test,The structural inspection
"1332. Avoid the Overweight landing, what procedures captain will do first?",Request divert and Landing at bigger airport,Dump Fuel,Request emergency fire car,Dump Fuel
1333. Which is the main cause of A/C damage after bird strike?,Altitude,Wind,High speed of A/C,High speed of A/C
1334. 7.20. Maintenance Procedures,,,,
1335. The regular maintenance carried out is based on the documents issued by the aircraft and equipment manufacturers. They can be as follow:,Maintenance Review Board Report (MRBR) and Maintenance Planning Data (MPD),"Maintenance Review Board Report (MRBR), Maintenance Planning Data (MPD) and Regulatory Requirements","Maintenance Review Board Report (MRBR), Maintenance Planning Data (MPD), Maintenance Organization Exposition (MOE) and Regulatory Requirements","Maintenance Review Board Report (MRBR), Maintenance Planning Data (MPD) and Regulatory Requirements"
1336. What does the maintenance schedule specify,Maintenance requirements for the aircraft as well as the maximum operating hours for aircraft components as required by regulatory authorities,Maintenance requirements for the aircraft,Maximum operating hours for aircraft components as required by regulatory authorities,Maintenance requirements for the aircraft as well as the maximum operating hours for aircraft components as required by regulatory authorities
1337. How does the aircraft operator ensure the effectivity of the maintenance procedures,Base on daily notification of aircraft manufacturer.,Continuously checking the maintenance schedule,Aircraft operator don't need to ensure the effectivity of the maintenance procedures,Continuously checking the maintenance schedule
1338. Which program are flight-hour sensitive,Structural Inspection Program,Systems Maintenance and Zonal Inspection Programs,"Structural Inspection, Systems Maintenance and Zonal Inspection Programs",Systems Maintenance and Zonal Inspection Programs
1339. In what are task intervals expressed,"Hours, cycles, calendar time, flight day","Hours, cycles, calendar time","Hours, cycles, calendar time or a letter check","Hours, cycles, calendar time or a letter check"
"1340. Which rating authorizes to carry out maintenance work on aircraft and aircraft components (including engines / APU), provided those aircraft components are built in the aircraft.",A-Rating,B-1 / 3 -Rating,C-Rating,A-Rating
1341. What kind of information does the Component Capability List (CCL) provide,List of the component that are installed on aircraft and Maximum operating hours of those components,Maximum operating hours for aircraft components,List of the part numbers (P/Ns) of parts that have to be maintained in the respective shop.,List of the part numbers (P/Ns) of parts that have to be maintained in the respective shop.
"1342. Concerning modification, from what can complementary maintenance measures result","Requirements from authorities (AD, LTA, etc.) only","Requirements from authorities (AD, LTA, etc.) and recommendations from the design / production organizations.",Recommendations from the design / production organizations only,"Requirements from authorities (AD, LTA, etc.) and recommendations from the design / production organizations."
1343. Who take decision on the accomplishment of Service Bulletin (SB),Aircraft / aircraft component owner unless the SB accomplishment is explicitly prescribed by an authority,Aircraft / aircraft component owner,Approved maintenance organization,Aircraft / aircraft component owner unless the SB accomplishment is explicitly prescribed by an authority
1344. What happen to an aircraft or aircraft component if it is not accomplished an effective Authority directives before deadline,Aircraft or aircraft component is allowed to be used for three month.,Aircraft or aircraft component is not allowed to be used in normal operation anymore,Aircraft or aircraft component is allowed to be used in normal operation,Aircraft or aircraft component is not allowed to be used in normal operation anymore
1345. How must Serviceable material and unserviceable material be stored.,Serviceable material must be stored separately from unserviceable material,Serviceable material can be stored with unserviceable material provided they is labeled with appropriate tag,No requirement,Serviceable material must be stored separately from unserviceable material
