Question,Option A,Option B,Option C,Correct Answer
90. A block of oak (Density = 45 lb/ft³) is placed in a tank of benzene (Density =54.9 lb/ft³). Which below statement is true?,The block of oak total sink in tank of benzene,The block of oak total float over tank of benzene,The oak block will be below the surface of the benzene nearly 82%,The oak block will be below the surface of the benzene nearly 82%
91. An aircraft flies 1350 nmiles in 2h 15mins. What is the average speed?,600 nmiles/hour,400 nmiles/hour,150 nmiles/hour,600 nmiles/hour
92. An aircraft travels at 500 km/hr for 30 minutes at steady speed. How far does it move in that time?,500 km,1000 km,250 km,250 km
93. An object travels 18 km in 1 minute 30 seconds. What is its average speed?,270 m/s,200 m/s,250 m/s,200 m/s
94. What is acceleration?,Rate of change of velocity,Rate of change of movement,Rate of change of position,Rate of change of velocity
95. A car travelling at a speed of 5 m/s accelerates at the rate of 1 m/s². How long will it take to reach a speed of 20 m/s?,15 secs,10 secs,20 secs,15 secs
96. How long will it take a car moving at 60 km/hr to travel 90 km?,40 minutes,75 minutes,90 minutes,90 minutes
97. A cyclist goes from rest to 50 m/s in 5 seconds. What is the average acceleration?,10 m/s²,12 m/s²,14 m/s²,10 m/s²
"98. A body travelling at 20 m/s accelerates to 36 m/s in 8 seconds, what is its acceleration?",8 m/s²,4 m/s²,2 m/s2,2 m/s2
"99. For the acceleration caused by the earth’s gravity, standard gravity is defined as follows:","G = 9,01 m/s²","G = 9,81 m/s²","G = 8,91 m/s²","G = 9,81 m/s²"
100. A ball is dropped from rest. What is its speed after 4 seconds?,Approximate 80 m/s,Approximate 40 m/s,Approximate 60 m/s,Approximate 40 m/s
101. A body started from rest and has been falling freely for 3 seconds. At what speed is it falling?,Approximate v = 19 m/s,Approximate v = 29 m/s,Approximate v = 39 m/s,Approximate v = 29 m/s
102. Which statement is the best correct?,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things","When things fall to earth, terminal velocity of things depend on: Mass and height of things","When things fall to earth, terminal velocity of things depend on:Mass and drag of things","When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things"
103. The centrifugal force is caused by:,The inertia of a rotating body,The inertia of a straight line moving body,The inertia of a linear moving body,The inertia of a rotating body
"104. For circular motion, centripetal force can be calculated by:",(Mass x Velocity)/Radius,(Mass x Velocity²)/Radius,(Mass x Velocity²)/Diameter,(Mass x Velocity²)/Radius
"105. For circular motion, with tangential velocity = 10m/s, mass = 5kg, radius = 0.1m, the centrifugal force is:",5N,15N,0.5N,5N
106. Which statement is the best correct?,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things","When things fall to earth, terminal velocity of things depend on: Mass and height of things","When things fall to earth, terminal velocity of things depend on:Mass and drag of things","When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things"
107. Which frequencies must aircraft designers take into account when designing,,,,
108. aircraft structure?,Vibration frequencies,resonant frequencies,Harmonic frequencies,resonant frequencies
"109. What are purposes of gear in clocks and watches, in automobiles and aircraft?",Used to gain mechanical advantage,Used to change the direction of movement,"Used to gain mechanical advantage, or to change the direction of movement.","Used to gain mechanical advantage, or to change the direction of movement."
110. The actual mechanical advantage (AMA) is:,The ratio of the output force to the input force,The ratio of the input force to the output force,The subtraction of the output force to the input force,The ratio of the output force to the input force
111. A worker is able to raise a body weighing 150 N by applying a force of 75 N. What is the AMA of the machine that he is using?,3,2,4,2
"112. A worker is able to raise a body by applying a force of 50N, using the machine using has AMA (actual mechanical advantage) is 3. How much does the body weigh?",150,120,200,150
113. Ideal Mechanical Advantage (IMA) is defined as:,Ratio of the output distance to the input distance,Ratio of the input distance to the output distance,Ratio of the input distance to (the total of output distance and input distance),Ratio of the output distance to the input distance
117. A worker applied his force through a distance of 15m. The load is raised a distance of 5 m. What is the Ideal Mechanical Advantage (IMA) of the machine that he used?,4,5,3,3
118. A worker applied his force through a distance of 30 m. the Ideal Mechanical Advantage (IMA) of the machine that he used is 3. How distance is the load raised?,8,6,10,10
119. The mass of an object is described as:,The amount of matter in an object,Is constant regardless of its location,The amount of matter in an object and is constant regardless of its location,The amount of matter in an object and is constant regardless of its location
120. Acceleration of Gravity on earth is:,9.8 m/s²,32.2 ft/s²,9.8 m/s2 or 32.2 ft/s²,9.8 m/s2 or 32.2 ft/s²
121. 1 US pounds equal:,0.4536 kg,0.4536 g,4.536 kg,0.4536 kg
122. 5 US pounds equal:,2.268 kg,2.505 kg,2.785kg,2.268 kg
123. Formula of Force is:,Force = Mass x Speed,Force = Mass x Acceleration,Force = Mass x Gravity,Force = Mass x Acceleration
124. Which below statement is correct?,"The jet has a greater mass, it has a greater resistance to change its state of rest to motion.","The jet has a greater mass, it has the same resistance to change its state of rest to motion.","The jet has a greater mass, it has a less resistance to change its state of rest to motion.","The jet has a greater mass, it has a greater resistance to change its state of rest to motion."
125. Weight is defined as:,The gravitational push of the earth on a given body,The gravitational pull of the earth on a given body,The gravitational pull of the earth on a given surface,The gravitational pull of the earth on a given body
126. Formula of Weight is:,Weight = Mass x Gravity,Weight = Mass x Height,Weight = Density x Gravity,Weight = Mass x Gravity
"127. A body has a mass of 50 kg, how weight is it? Gravity is 9.81",490.5 N.m,490.5 N,490.5 Lbs,490.5 N
"128. A box has a mass of 250 kg, how weight is it? Gravity is 9.81","2,452.5 N","2,400 N","3,400 N","2,452.5 N"
129. A force 15 daN equals:,1500 N,150N,"1,5N",150N
130. How many kinds of friction?,"There are 3 kinds: starting friction, sliding friction and rolling resistance",There are 2 kinds: starting friction and rolling resistance,"There are 3 kinds: starting friction, linear friction and rolling resistance","There are 3 kinds: starting friction, sliding friction and rolling resistance"
131. The friction formula is:,Friction = (Coefficient of Friction) x Mass,Friction = (Coefficient of Friction) x Weight,Friction = (Coefficient of Friction) x Acceleration,Friction = (Coefficient of Friction) x Weight
132. A steel body weighing 450 N is resting on a horizontal steel surface. How many newtons of force are necessary to start the body sliding? Know that the Coefficient of starting friction is 0.15,60 N,86 N,68N,68N
133. A steel body weighing 450 N is resting on a horizontal steel surface. What force is necessary to keep this body sliding at constant speed? Know that the Coefficient of sliding friction is 0.09,41 N,45 N,55 N,41 N
134. What is the formula of work?,Work = Force x Velocity,Work = Force x Acceleration,Work = Force x Distance,Work = Force x Distance
"135. Unit of Work is Joules, 1 Joule is equal:",Kg.m,Kg.m/s,N.m,N.m
136. What is the Unit of Work?,Joule (J),Watt (W),Newton (N),Joule (J)
137. Calculate the work done by a man of mass 30 kg in climbing a ladder 2 m high (acceleration of gravity is 9.81 m/s²),588.6 Joules,588.6 Newtons,588.6 Watts,588.6 Joules
138. Calculate the work done by a man of mass 65 kg in climbing a ladder 4 m high (acceleration of gravity is 9.81 m/s²),"3,548 Joules","2,550.6 Joules","2,348 Joules","2,550.6 Joules"
139. An object with a force of 600 Newton is moved a distance of 30 meters. How many is the work?,18.000 Joules,1.800 Joules,2.000 Joules,18.000 Joules
140. What is the Unit of Power?,Joule (J),Watt (W),Newton (N),Watt (W)
141. 10 Watts is equal:,10 J/s,10 N/s,10 kg/s,10 J/s
142. How many Power for the object with a force of 600 Newton is moved a distance of 30 meters in 10 seconds?,180 W,"18,000 W","1,800 W","1,800 W"
143. What is the formula of power?,Power = Work/Time,Power = Work/Distance,Power = Work/Gravity,Power = Work/Time
144. Newton's First Law is:,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an unbalanced external force,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an balanced external force,A body at rest remains at rest and a body in motion continues to move at a constant velocity without external force,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an unbalanced external force
145. Newton’s Second Law is:,The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts,The rate of change of momentum of a body is inversely proportional to the applied force and takes place in the direction in which the force acts,The rate of change of momentum of a body is not related to the applied force and takes place in the direction in which the force acts,The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts
146. Formula of Newton’s Second Law is:,Force = Weight . Acceleration,Force = Mass . Acceleration,Force = Mass . Velocity,Force = Mass . Acceleration
"150. A body has mass 50 kg, how many Force needs for moving it with acceleration 5 m/s²? Assume that friction is Zero and gravity is 9.81 m/s²","F = 2,052.5 N","F = 2,252.5 N","F = 2,452.5 N","F = 2,452.5 N"
151. Newton’s Third Law is:,Every action has an equal and opposite reaction,Every action has an opposite reaction and can not determine,Every action has an opposite reaction and equal 2 times of this reaction,Every action has an equal and opposite reaction
152. Energy is defined as:,The “Capacity to Accelerate”,The “Capacity to do Work”,The “Capacity to Decelerate”,The “Capacity to do Work”
153. Formula for Kinetic Energy (Ek) is:,Ek = 1/2 (Mass . Velocity²),Ek = 1/2 (Mass . Acceleration²),Ek = 1/2 (Mass . Force²),Ek = 1/2 (Mass . Velocity²)
154. Calculate Kinetic Energy of matter has Mass = 5kg and Velocity = 2m/s,Ek = 30 (J),Ek = 20 (J),Ek = 10 (J),Ek = 10 (J)
155. A body of mass 10 kg falls to the earth from a height of 300m above the surface of the earth. How many Potential Energy of this body? Gravity is 9.81 m/s²,"26,430 (J)","20,430 (J)","29,430 (J)","29,430 (J)"
156. Thermodynamic Temperature Unit is:,Kelvin,Joule,Joule/second,Kelvin
157. What is the efficiency of energy conversion?,The ratio between the output into a mechanism and the useful input of the mechanism,The ratio between the input into a mechanism and the useful output of the mechanism,The different between the input into a mechanism and the useful output of the mechanism,The ratio between the input into a mechanism and the useful output of the mechanism
158. The formula for efficiency is as follows:,Ŋ = Pout/Pin,Ŋ = Fout/Fin,Ŋ = Tout/Tin,Ŋ = Pout/Pin
"159. A machine has Power output = 100 Watts, The Efficiency is 80%. How many Power is lost?",Ploss = 15 W,Ploss = 35 W,Ploss = 25 W,Ploss = 25 W
160. Gyroscopic are used to detect:,"Turns around the x, y or z axis of an aircraft",Turns around the only z axis of an aircraft,Turns around the x or z axis of an aircraft,"Turns around the x, y or z axis of an aircraft"
161. What is definition of Momentum?,A vector quantity defined as the product of mass times velocity,A quantity defined as the product of mass times velocity,A vector quantity defined as the product of mass times acceleration,A vector quantity defined as the product of mass times velocity
162. What is formula of Momentum?,Momentum = m . a,Momentum = m . V,Momentum = m . F,Momentum = m . V
163. A matter has mass 500 kg and velocity 5 m/s. How many Momentum Quantity,Momentum = 2500 kg.m/s,Momentum = 2000 kg.m/s,Momentum = 1000 kg.m/s,Momentum = 2500 kg.m/s
164. A matter has mass 200 kg and velocity 5 m/s. How many Momentum Quantity,Momentum = 40 kg.m/s,Momentum = 200 kg.m/s,Momentum = 1000 kg.m/s,Momentum = 1000 kg.m/s
165. How is the total momentum before the collision?,Equal to the total momentum after the collision,Proportional to the total momentum after the collision,Reverse proportional to the total momentum after the collision,Equal to the total momentum after the collision
"166. A truck with a mass of 1500 kg is moving east at 60 m/s. A car with a mass of 500 kg is travelling west at 100 m/s, the vehicles collide and stick together after impact. What is the velocity of the combined mass after the collision has occurred?",10 m/s,15 m/s,20 m/s,15 m/s
