Question,Option A,Option B,Option C,Option D,Correct Answer
The turbulent boundary layer also produces?,Lower kinetic energy next to the surface and this reduces the tendency for a flow separation.,Higher kinetic energy next to the surface and this reduces the tendency for a flow separation.,Higher kinetic energy next to the surface and this increase the tendency for a flow separation.,,Higher kinetic energy next to the surface and this reduces the tendency for a flow separation.
"When we have a flow separation at the root of the wing, the center of lift?",Moves towards the root and also behind the center of gravity.,Moves towards the tip and also behind the center of gravity.,Moves towards the tip and also before the center of gravity.,,Moves towards the tip and also behind the center of gravity.
When does the angle of incidence change?,It never changes.,When the aircraft attitude changes.,When the aircraft is ascending or descending.,,It never changes.
If the wing span is infinite the circulation around the profile causes?,An downwash on the leading edge and a downwash on the trailing edge.,An upwash on the leading edge and an upwash on the trailing edge.,An upwash on the leading edge and a downwash on the trailing edge.,,An upwash on the leading edge and a downwash on the trailing edge.
Upper surface frost and especially leading edge ice formation reduce?,The maximum coefficient of drag and the maximum angle of attack.,The maximum coefficient of lift and the maximum angle of incidence.,The maximum coefficient of lift and the maximum angle of attack.,,The maximum coefficient of lift and the maximum angle of attack.
A flow separation at the tip of the wing is much more dangerous. It causes?,The center of lift moves towards the root and also forward of the center of gravity.,The center of lift moves towards the tip and also forward of the center of gravity.,The center of lift moves towards the root and also aft of the center of gravity.,,The center of lift moves towards the root and also forward of the center of gravity.
Different wing shapes are?,"An elliptical wing, a rectangular wing, a tapered wing, a swept wing","An elliptical wing, a rectangular wing.","An elliptical wing, a swept wing",,"An elliptical wing, a rectangular wing, a tapered wing, a swept wing"
On an aerodynamically twisted wing the camber of the profile at the root is?,Smaller than the camber at the tip and the angle of incidence is constant across the wing span.,Greater than the camber at the tip and the angle of incidence is increased across the wing span.,Greater than the camber at the tip and the angle of incidence is constant across the wing span.,,Greater than the camber at the tip and the angle of incidence is constant across the wing span.
On a geometrically twisted wing the camber of the profile is?,Smaller than the camber at the tip and the angle of incidence is constant across the wing span.,Greater than the camber at the tip and the angle of incidence is increased across the wing span.,Constant across the span of the wing but the angle of incidence is greater at the root than at the tip.,,Constant across the span of the wing but the angle of incidence is greater at the root than at the tip.
When the position of the center of lift moves forward of the position of the center of gravity we have?,A nose up reaction.,A down up reaction.,No nose up or down reaction.,,A nose up reaction.
What is Thrust?,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,The aerodynamic force which is parallel to the flight path.,,The force which moves the aircraft forward through the air.
What is Drag?,The aerodynamic force which is parallel to the flight path.,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,,The aerodynamic force which is parallel to the flight path.
What is Lift?,The aerodynamic force which is ninety degrees to the flight path.,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,,The aerodynamic force which is ninety degrees to the flight path.
"If an aircraft moves in yaw, what axis does it move about?",Longitudinal.,Lateral.,Vertical.,,Vertical.
What does Lateral stability refer to?,The roll movement around the longitudinal axis.,The yaw movement around the vertical axis.,The pitch movement around the lateral axis.,,The roll movement around the longitudinal axis.
What does Directional stability refer to?,The yaw movement around the vertical axis.,The pitch movement around the lateral axis.,The roll movement around the longitudinal axis.,,The yaw movement around the vertical axis.
What does Longitudinal stability refer to?,The pitch movement around the lateral axis.,The roll movement around the longitudinal axis.,The yaw movement around the vertical axis.,,The pitch movement around the lateral axis.
What is Weight?,The force of thrust.,The force of pressure.,The force of gravity.,,The force of gravity.
How many degrees to the flight path of Lift force?,90 degrees,70 degrees,50 degrees,,90 degrees
What can The center of gravity be thought of as?,A center of pressure.,A center of balance.,A center of lift.,,A center of balance.
When does an equilibrium exist?,The aircraft is in descent flight.,The aircraft is in climb flight.,"The aircraft is in steady, level flight.",,"The aircraft is in steady, level flight."
What does The lift on the wing has to carry?,The weight of the aircraft only,The downward acting stabilizer force only,The weight of the aircraft and the downward acting stabilizer force.,,The weight of the aircraft and the downward acting stabilizer force.
When Moments = Zero?,Anti-clockwise Rotation > Clockwise Rotation,Anti-clockwise Rotation< Clockwise Rotation,Anti-clockwise Rotation = Clockwise Rotation,,Anti-clockwise Rotation = Clockwise Rotation
"If the aircraft is to maintain altitude during a turn, the lift in the turn?",Must not be equal to the resultant of the centrifugal force and the weight.,Must be equal to the resultant of the centrifugal force and the weight.,Must be equal to the resultant of the centrifugal force or the weight.,,Must be equal to the resultant of the centrifugal force and the weight.
The load factor ”n” is also called?,G−load,W-load,V−load,,G−load
"When an aircraft is in constant altitude, wings level flight, the lift is?",Equal to the weight of the aircraft.,Smaller to the weight of the aircraft.,Bigger to the weight of the aircraft.,,Equal to the weight of the aircraft.
The structural strength of the aircraft and consideration for passenger comfort limit?,The maximum angle of attack during a turn.,The maximum load factor.,The maximum speed during a turn.,,The maximum load factor.
The load factor on military is much?,Higher than on passenger aircraft.,Lower than on passenger aircraft.,Higher than on acrobatic aircraft.,,Higher than on passenger aircraft.
What happens when the aircraft is in cruise flight?,The coefficient of lift is much less than the maximum coefficient of lift.,The coefficient of lift is equal the maximum coefficient of lift.,The coefficient of lift is minimum.,,The coefficient of lift is much less than the maximum coefficient of lift.
When the aircraft is in low speed flight?,"The coefficient of lift is at, or close to, the maximum.",The coefficient of lift above the maximum.,The coefficient of lift is higher the maximum.,,"The coefficient of lift is at, or close to, the maximum."
Directional stability is about?,The lateral axis.,The longitudinal axis.,The vertical axis.,,The vertical axis.
Lateral stability is about?,The longitudinal axis.,The normal axis.,The vertical axis.,,The longitudinal axis.
The Aircraft Fin gives stability about which axis?,Longitudinal axis.,Lateral axis.,Vertical axis.,,Vertical axis.
How many type of stability?,1,2,3,,2
"In static stability, when the ball is displaced from the center on a concave surface?",It returns to its original position of equilibrium.,It moves away from its original position of equilibrium.,It shows no tendency to roll back or away from its original position of equilibrium.,,It returns to its original position of equilibrium.
What is Dutch roll?,Longitudinal − directional oscillation.,Vertical − directional oscillation.,Lateral − directional oscillation.,,Lateral − directional oscillation.
What is the sideslip angle?,The angle between the aircraft centerline and the sideslip direction.,The angle between the aircraft centerline and the wing axis.,The angle between the aircraft centerline and the fuselage axis.,,The angle between the aircraft centerline and the sideslip direction.
What is Longitudinal stability?,Longitudinal stability is the stability of the aircraft around the vertical axis.,Longitudinal stability is the stability of the aircraft around the lateral axis.,Longitudinal stability is the stability of the aircraft around the longitudinal axis.,,Longitudinal stability is the stability of the aircraft around the lateral axis.
The gust moves the right wing upward and the left wing downward and the aircraft rotates around?,The lateral axis.,The longitudinal axis.,The vertical axis.,,The longitudinal axis.
The nose up rotation also produces additional lift on the wing because of?,The decreasing angle of incidence.,The decreasing angle of attack.,The increasing angle of attack.,,The increasing angle of attack.
"When a gust hits the upper front part of the aircraft, what do we get?",We get a nose up rotation.,We get a nose down rotation.,We get no rotation of nose.,,We get a nose down rotation.
What does The longitudinal stability depend on?,The angle of incidence and the pitching moment effects of the horizontal stabilizer and the wing.,The angle of attack and the pitching moment effects of the horizontal stabilizer and the wing.,The angle of attack and the pitching moment effects of the vertical stabilizer and the wing.,,The angle of attack and the pitching moment effects of the horizontal stabilizer and the wing.
When do dynamic stability apply?,Dynamic stability only applies if we have neutral static stability.,Dynamic stability only applies if we have positive static stability.,Dynamic stability only applies if we have negative static stability.,,Dynamic stability only applies if we have positive static stability.
The dutch roll problem is found on all aircraft with?,Tapered wings.,Rectangular.,Swept wings. ----HẾT---,,Swept wings. ----HẾT---
