Question,Option A,Option B,Option C,Correct Answer
1736. The Autopilot controls the aircraft attitude directly around,"3 axes, by elevator deflections from the pitch channel aileron deflections from the roll channel, by rudder deflections from yaw channel","2 axes, by elevator deflections from the pitch channel and aileron deflections from the roll channel","1 axes, by aileron deflections from the roll channel","2 axes, by elevator deflections from the pitch channel and aileron deflections from the roll channel"
"1737. For pitch trim system, what is the purpose of moving horizontal stabilizer?",To compensate for changes in the center of lift during flight,To compensate for changes in the center of gravity,To compensate for changes in the center of gravity and center of lift during flight,To compensate for changes in the center of gravity and center of lift during flight
1738. What is purpose of the pitch trim system in an aircraft?,To maintain longitudinal stability without permanent elevator deflections,To maintain horizontal stability without permanent elevator deflection,To maintain vertical stability without permanent elevator deflection,To maintain longitudinal stability without permanent elevator deflections
1739. How many sub-system are there in trim system,5,4,3,5
1740. What is function of an autothrottle system?,To automatically and manually control the thrust of the engines to the required value,To automatically control the thrust of the engines to the required value,To automatically control the thrust of the engines to the required value and yaw damper,To automatically control the thrust of the engines to the required value
1741. What is function of a flight director system?,To active autopilot,To disengage auto throttle,To calculate the output signals which are indicated and show the pilot how to move the control surfaces manually.,To calculate the output signals which are indicated and show the pilot how to move the control surfaces manually.
1742. What is function of AP?,The autopilot controls the aircrafts flight automatically Pitch channel and Roll channel,The autopilot controls the aircrafts flight automatically Pitch channel,The autopilot controls the aircrafts flight automatically Roll channel,The autopilot controls the aircrafts flight automatically Pitch channel and Roll channel
"1743. In the inter loop, what is a result of comparison between actual attitude and commanded attitude?",IAS,Attitude error signal,Deflection of control surface,Attitude error signal
"1744. In the outer loop, what is a result of comparison between actual flight path and desired path?",Attitude,Actual attitude,Path error,Path error
1745. What is the function of the Yaw damper?,Control the rudder to compensate for changes in the center of gravity,Control the rudder to dampen dutch roll oscillations during the entire flight.,Control the rudder deflections as much as possible,Control the rudder to dampen dutch roll oscillations during the entire flight.
1746. When the autopilot disengages,There must be a warning which consists of a red flashing warning light or a corresponding message on the primary flight display and aural warning,There must be a warning which consists of a amber flashing warning light or a corresponding message on the primary flight display,Only appear corresponding message on the primary flight display and aural warning,There must be a warning which consists of a red flashing warning light or a corresponding message on the primary flight display and aural warning
1747. What is the function of force transducer of Control Wheel Steering (CWS),Convert a force to a proportional voltage generates for the autopilot,Indication value of force for pilot when using control column,Keep control column not moving manually with normal force,Convert a force to a proportional voltage generates for the autopilot
1748. How does the autopilot work if there is a signal difference between two autopilot channels happens,The Autopilot channel A engages.,The complete Autopilot disengages,The Autopilot channel B engages.,The complete Autopilot disengages
1749. which mode allows the pilot to select the desired climb or sink rate in feet per minute.,lateral speed mode,Glide slope mode,Vertical speed mode,Vertical speed mode
1750. The autopilot rolls the aircraft to wings level and keeps the actual heading.,If the roll angle is less than five degrees,If the roll angle is less than ten degrees and pitch angle is less than five degrees,If the roll angle is less than ten degrees and pitch angle is less than ten degrees,If the roll angle is less than five degrees
1751. How does the autopilot work when the aircraft reaches the cruise altitude,The autopilot works in common mode,The autopilot pitch channel works in altitude hold and speed mode,The autopilot pitch channel works in altitude hold and the roll channel still controls the aircraft on the calculated track.,The autopilot pitch channel works in altitude hold and the roll channel still controls the aircraft on the calculated track.
1752. Maximum deflection of the yaw damper input,up to 5 degrees,up to 10 degrees,up to 15 degrees,up to 10 degrees
"1753. in the speed trim subsystem, Speed stability means that",With increasing airspeed the aircraft must be trimmed in the nose up direction and with decreasing airspeed in nose down direction.,With decreasing airspeed the aircraft must be trimmed in the nose up direction and with increasing airspeed in nose down direction.,Threshold of actual airspeed is not overspeed.,With increasing airspeed the aircraft must be trimmed in the nose up direction and with decreasing airspeed in nose down direction.
1754. When a failure in a trim system is detected,the second system takes over automatically,the second system is activated by the pilots.,the pilots must be trim manually,the second system takes over automatically
1755. What is the classic autothrottle system,It delivers a digital signal directly to the FADEC computer of the engine.,It uses a servomotor to adjust the,,It uses a servomotor to adjust the throttle position and the mechanical linkage to the engines.
1757. throttle position and control by FADEC computer,,,,
1758. Which type of aircraft use the classic autothrottle system,Airbus aircraft,Boeing aircraft,Both Airbus and Boeing aircraft,Boeing aircraft
1759. What is the Thrust Mode of autothrottle system,"It controls either the Engine Pressure Ratio, EPR or the N1 rotational speed to the desired value",It controls the calibrated airspeed of the aircraft. The desired value comes either from the FMS or can be selected by the pilot.,It controls the thrust by selected N2 rotational speed from the FMS,"It controls either the Engine Pressure Ratio, EPR or the N1 rotational speed to the desired value"
1760. What is the Speed Mode of autothrottle system,"It controls either the Engine Pressure Ratio, EPR or the N1 rotational speed to the desired value",It controls the calibrated airspeed of the aircraft. The desired value comes either from the FMS or can be selected by the pilot.,It controls the thrust by selected N2 rotational speed from the FMS,It controls the calibrated airspeed of the aircraft. The desired value comes either from the FMS or can be selected by the pilot.
1761. Which mode of the autothrottle system is used during Take off?,Either thrust or Speed mode is used depends on aircraft speed,Speed mode,Thrust mode,Thrust mode
1762. Which mode of the autothrottle system is used during Climb?,Either thrust or Speed mode is used depends on aircraft speed,Either thrust or Speed mode is used depends primarily on the active autopilot or flight director pitch mode,Thrust mode,Either thrust or Speed mode is used depends primarily on the active autopilot or flight director pitch mode
1763. Which mode of the autothrottle system is used during Cruise?,Either thrust or Speed mode is used depends on aircraft speed,Speed mode,Thrust mode,Speed mode
1764. During the approach phase the autothrottle system controls speed which depends on,The flap positions,The landing gear positions,The flap and landing gear positions,The flap and landing gear positions
1765. How long maximum thrust can be used when you select the TAKE OFF mode,"This highest thrust limit must only be used for up to 5 minutes, because it produces high stress for the engines and reduces the engine life time","This highest thrust limit must only be used for up to 10 minutes, because it produces high stress for the engines and reduces the engine life time","This highest thrust limit must only be used for up to nose landing gear not compress, because it produces high stress for the engines and reduces the engine life time","This highest thrust limit must only be used for up to 5 minutes, because it produces high stress for the engines and reduces the engine life time"
1766. Under what conditions does The thrust selects FLEXIBLE TAKE OFF mode?,Dry runways,Maximum takeoff weights or long runways.,Low takeoff weights or long runways.,Low takeoff weights or long runways.
1767. How to disconnect the autothrottle,When you move the switch on the panel to off or when any condition for autothrottle operation becomes invalid.,When you move the switch on the panel to off or push either autothrottle quick disconnect pushbutton.,When you move the switch on the panel to off or push either autothrottle quick disconnect pushbutton or when any condition for autothrottle operation becomes invalid.,When you move the switch on the panel to off or push either autothrottle quick disconnect pushbutton or when any condition for autothrottle operation becomes invalid.
1768. During flare maneuver the autothrottle.,Retards throttles slowly to the idle position,Lockout,Automatic disconnect.,Retards throttles slowly to the idle position
1769. The alpha trim subsystem is primarily used to,decrease the induced drag during low speed flights.,decrease the induced drag during high speed flights.,increase the induced drag during high speed flights.,decrease the induced drag during high speed flights.
1770. Take Off Decision Speed (V1) mean:,is speed which the pilot has to be discontinued take off if V1 is not yet reached and a engine failure occurred or a warning/caution is generated by the warning system,is speed which the pilot has to be discontinued take off if V1 is reached with both engines working normal.,is speed which is the minimum speed to be obtained with one engine inoperative at a height of 35 ft above the runway surface.,is speed which the pilot has to be discontinued take off if V1 is not yet reached and a engine failure occurred or a warning/caution is generated by the warning system
1771. Rotation Speed (VR) mean:,is speed which the pilot rotates the aircraft if V1 is not yet reached.,is the speed at which the pilot rotates the aircraft to increase lift for lift off.,is speed which is the minimum speed to be obtained with one engine inoperative at a height of 35 ft above the runway surface.,is the speed at which the pilot rotates the aircraft to increase lift for lift off.
1772. Take Off Safety Speed (V2) mean:,is speed which the pilot has to be discontinued take off if V2 is not yet reached with one engine inoperative,is the speed at which the pilot rotates the aircraft to increase lift for lift off.,is speed which is the minimum speed to be obtained with one engine inoperative at a height of 35 ft above the runway surface.,is speed which is the minimum speed to be obtained with one engine inoperative at a height of 35 ft above the runway surface.
1773. When a FD warning flag is displayed in the ADI this means that?,Flight Director computer has no electrical power available and/or the computer has a FAULT.,AP/FD system has a FAULT,ADI has a FAULT,Flight Director computer has no electrical power available and/or the computer has a FAULT.
1774. How many altitude mode are there in the pitch modes of auto flight systems?,1 mode: the altitude select mode,2 mode: the altitude select mode and the altitude hold mode,1 mode: the altitude hold mode,2 mode: the altitude select mode and the altitude hold mode
"1775. In AP/FD mode, the common mode consist of:","Approach mode, autoland mode, Take-off mode","Autoland mode, Take-off mode, Go-around mode","Approach mode, autoland mode, Take-off mode, Go-around mode","Approach mode, autoland mode, Take-off mode, Go-around mode"
1776. How many parts are there in the yaw damper system:,"3 parts: a yaw damper computer, a yaw damper servo motor, a rate gyro to detect the changes in yaw direction","2 parts: a yaw damper computer, a yaw damper servo motor","2 parts: a yaw damper computer, a rate gyro to detect the changes in yaw direction","3 parts: a yaw damper computer, a yaw damper servo motor, a rate gyro to detect the changes in yaw direction"
1777. What is the function of speed trim sub-system?,provides speed stability during high speed and high thrust operation during take off and go around,provides speed stability during low speed and high thrust operation during landing,provides speed stability during low speed and high thrust operation during take off and go around,provides speed stability during low speed and high thrust operation during take off and go around
1778. What is the function of alpha trim sub-system?,to decrease the induced drag during high speed flights.,to increase the induced drag during high speed flights.,to decrease the induced drag during low speed flights.,to decrease the induced drag during high speed flights.
1779. What is the function of MACH trim sub-system?,It moves the elevator down when the MACH number increases,It moves the stabilizer leading edge down when the MACH number decrease,It moves the stabilizer leading edge down when the MACH number increases,It moves the stabilizer leading edge down when the MACH number increases
"1780. in autopilot pitch trim, When a certain level of elevator deflection is exceeded for a few seconds, what's happen?",the trim computer starts the actuator of elevator,the trim computer starts the stabilizer trim motor.,the trim computer starts the actuator of aileron,the trim computer starts the stabilizer trim motor.
1781. What does data supply to speed adapter of autopilot system?,IAS,TAS,GSP,IAS
1782. How to activates the link between the autopilot servomotor and the flight controls,by closing a clutch.,by opening a clutch.,by active AP switch,by closing a clutch.
"1783. in Autopilot, Where the actual Attitude data come from?",a vertical gyro or the IRU,FMS,ADC,a vertical gyro or the IRU
1784. What is the most important part of the inner loop?,take IAS data from ADC,the comparison between the actual attitude of the aircraft and the commanded attitude,control the control surface,the comparison between the actual attitude of the aircraft and the commanded attitude
1785. Which statement is correct?,At lower airspeeds the control surface needs less deflection for a certain change of attitude,At higher airspeeds the control surface needs more deflection for a certain change of attitude,At higher airspeeds the control surface needs less deflection for a certain change of attitude,At higher airspeeds the control surface needs less deflection for a certain change of attitude
1786. How to disconnect the autopilot?,You can disengage the autopilot by pressing the illuminated autopilot push button a second time or by pressing the red pushbutton on the side stick,You can disengage the autopilot by pressing the illuminated autopilot push button a second time,You can disengage the autopilot by pressing the red pushbutton on the side stick,You can disengage the autopilot by pressing the illuminated autopilot push button a second time or by pressing the red pushbutton on the side stick
1787. What is the function of Servo or transfer valves are used in the power unit to deflect the surface.,convert the electrical signals from the control valve lever into a proportional hydraulic signal,convert the electrical signals from the autopilot into a proportional pneumatic signal,convert the electrical signals from the autopilot into a proportional hydraulic signal,convert the electrical signals from the autopilot into a proportional hydraulic signal
1788. What is the Head Up Display (HUD)?,A projector sends the important flight information to the glass mirror which is installed in the pilots line of sight during flight.,A projector sends the important flight information to the glass mirror which is installed in center line of cockpit windshield.,Reflects all information from the PFDs onto the Captain and First office windshields,A projector sends the important flight information to the glass mirror which is installed in the pilots line of sight during flight.
1789. Why does the pilot can move the throttle easily to the new position If applies force to a throttle.,Due to the pilot applies force more than brake force of brake dum.,Due to a small actuator is turned and lifts the brake shoes from the brake drum so that the brake opens,Due to the throttle only keep by a small spring,Due to a small actuator is turned and lifts the brake shoes from the brake drum so that the brake opens
1790. Decision height (DH) is,The height above the runway threshold,The height above the ground (radio height),The height above the sea level,The height above the runway threshold
1791. Alert Height (AH) is,The height above the runway threshold,The height above the ground (radio height),The height above the sea level,The height above the ground (radio height)
1792. When is autothrottle system automatically disengaged?,At touch down,During approach phase,During descent phase,At touch down
"1793. In an autopilot, what controls pitch mode?",Localizer.,VOR,Glideslope.,Glideslope.
1794. Which is subsystems of autoflight system,"Autopilot, Flight Director, Autothrottle System, Automatic Pitch Trim System","Autopilot, Flight Director, utothrottle System and Yaw Damper System","Autopilot, Flight Director, utothrottle System, Automatic Pitch Trim System and Yaw Damper System","Autopilot, Flight Director, utothrottle System, Automatic Pitch Trim System and Yaw Damper System"
1795. What is the function of Flight envelope protection,Monitor the operation of Autoflight systems to prevent any abnormal flight condition during automatic flight,Maintain aircraft stability during all phases of the flight,Keep Aircraft not overspeed during the whole flight,Monitor the operation of Autoflight systems to prevent any abnormal flight condition during automatic flight
1796. When do both autopilots work together,During automatic Climb,During automatic flight,During automatic landing,During automatic landing
1797. How to disengage autopilot for Airbus,By pressing the illuminated autopilot push button a second time,By pressing the red pushbutton on the side stick,By pressing the illuminated autopilot push button a second time or by pressing the red pushbutton on the side stick,By pressing the illuminated autopilot push button a second time or by pressing the red pushbutton on the side stick
1798. How many loops are there in the Autopilot system,Two loops: inner and outer,"Three loops: inner, middle, outer",Only one servo loop,Two loops: inner and outer
1799. The flight director instructs the pilot how to control the aircraft,By roll bar and yaw bar indicator either in the Attitude Director Indicator (ADI) or in the modern replacement called the Primary Flight Display (PFD),By roll bar and pitch bar indicator either in the Attitude Director Indicator (ADI) or in the modern replacement called the Primary Flight Display (PFD),By yaw bar and pitch bar indicator either in the Attitude Director Indicator (ADI) or in the modern replacement called the Primary Flight Display (PFD),By roll bar and pitch bar indicator either in the Attitude Director Indicator (ADI) or in the modern replacement called the Primary Flight Display (PFD)
1800. In the auto flight system Navigation modes are used to,Control the track of the aircraft.,Control the altitude of the aircraft.,Control the position of the aircraft.,Control the track of the aircraft.
1801. Which modes influence both axes at the same time?,Roll modes,Basic modes,Common modes.,Common modes.
1802. How does the take-off mode active?,By the TOGA switches,By the Flight,,By the TOGA switches
1803. Management System (FMS),By the Flight Director (FD),,,
1804. Go-around must be initiated when,The autoland phase must be aborted,The approach or autoland phase must be aborted,The approach phase is unsafe,The approach or autoland phase must be aborted
1805. The yaw damper system usually consist of,"A yaw damper computer, a yaw damper servo motor and a yaw rate gyro",A yaw damper servo motor and a yaw rate gyro,"A yaw damper computer, a rudder travel unit and a yaw rate gyro","A yaw damper computer, a yaw damper servo motor and a yaw rate gyro"
1806. The rudder can be deflected by the pilot via,The rudder pedals,The rudder trim function,The rudder pedals or the rudder trim function.,The rudder pedals or the rudder trim function.
1807. How many mode are there in autothrottle system,2 mode: Thrust Mode and Speed Mode.,Only Thrust Mode,"3 mode: Thrust Mode, Speed Mode, AP Pitch mode",2 mode: Thrust Mode and Speed Mode.
1808. The Flight Director command bars are only visible in the Instrument when,The Flight Director power is ON.,The Flight Director computer is valid.,The Flight Director power is ON and the Flight Director computer is valid.,The Flight Director power is ON and the Flight Director computer is valid.
1809. Which mode controls the engines in autothrottle system,Thrust mode,Speed mode,Thrust mode or Speed mode,Thrust mode or Speed mode
1810. Usually the approach phase continues with the landing phase at about,50 feet,100 feet,200 feet,50 feet
1811. For flight safety reasons and passenger comfort the roll attitude is limited to,About 10°,About 15°,About 30°,About 30°
1812. For the same safety and comfort reasons the pitch attitude is limited to,25° nose up and 10° nose down,10° nose up and 10° nose down,25° nose up and 25° nose down,25° nose up and 10° nose down
1813. Communication systems can be divided into,4 groups,2 groups,3 groups,3 groups
1814. Communication systems can be used for,"Aircraft communication, radio communication and accident investigation",Aircraft communication and radio communication,Aircraft communication and accident investigation,"Aircraft communication, radio communication and accident investigation"
1815. Passenger address system is a,System for accident investigation,Aircraft communication,Radio communication,Aircraft communication
1816. The interphone system allows communication between,The cockpit and cabin,The cockpit and ground station,The cockpit and other areas of the aircraft,The cockpit and other areas of the aircraft
1817. The VHF communication system allows communication,Over the whole world,Over a distance of up to 200 nm,Over long distances,Over a distance of up to 200 nm
1818. ACARS stands for,"Aircraft communication, addressing and reporting system","Aircraft communication, addressing and recording system","Aircraft communication, audio recording system","Aircraft communication, addressing and reporting system"
1819. Communication needs,Information and transformer,Information and amplifier,Information and carrier,Information and carrier
"1820. To allow communication during flight, aircraft communication systems need",A wireless carrier,A wire carrier,Wifi,A wireless carrier
1821. The carrier for aircraft communication during flight is,A wiring system,A audio frequency,A radio frequency,A radio frequency
1822. The radio frequencies that are used in aviation are divided into,18 frequency bands.,8 frequency bands.,28 frequency bands.,8 frequency bands.
1823. Low frequency is,Medium Hz,High Hz,Low Hz,Low Hz
1824. Length in time of a full wave of an alternating current is,Period F,Period T,Period C,Period T
"1825. For a frequency of 1 Hz, the wavelength is",300.000 km,300.000 m,1/300.000 km,300.000 km
1826. The sky wave can travel,Around the world,In a direct line,In a long distance,In a direct line
1827. In frequency modulation or FM,The frequency of the signal is varied,The amplitude of the carrier wave is varied,The frequency of the carrier wave is varied,The frequency of the carrier wave is varied
1828. Microphones transfer,Between acoustic information and electrical signal,The acoustic information into an electrical signal.,Electrical signal into acoustic information.,The acoustic information into an electrical signal.
"1829. In a radio transmitter, the modulator is",To generate the RF−carrier frequency.,To generate the necessary power to transmit,Where the audio information is coupled to the RF−signal,Where the audio information is coupled to the RF−signal
"1830. In a radio receiver, the tuning circuit is",To recover the audio signal from the RF signal,To select only one frequency,To generate the necessary power for the audio equipment.,To select only one frequency
1831. The antenna coupler is used for,HF communication system antenna electronically lengthened,VHF communication system antenna electronically lengthened,To coupe the transmit antenna and receive antenna,HF communication system antenna electronically lengthened
"1832. With a radio communication wavelength of 2 m, the antenna should be",50 cm,100 cm,2 m,50 cm
1833. The connection between the transceiver and the antenna is made by,Co−axial cable,Waveguides for above 3 GHz frequencies,Pair cable,Waveguides for above 3 GHz frequencies
"1834. Static dischargers are located at all sharp trailing edges of the airframe, because",In these areas the friction with air during flight generates static electricity.,To prevent static dischargers broken during flight,Of aerodynamic design,In these areas the friction with air during flight generates static electricity.
1835. The audio equipment for each cockpit crew member consists of,"An AMU, an ACP and a headset","A handset, boomset and microphones inside the oxygen mask and in a handheld version","A headset, boomset and microphones inside the oxygen mask and in a handheld version","A headset, boomset and microphones inside the oxygen mask and in a handheld version"
1836. The ACPs allow,Selection of reception a VHF and HF at the same time,A separate selection of reception and transmission channels.,Selection of transmission a VHF and HF at the same time,A separate selection of reception and transmission channels.
1837. The ACPs allow,Selection of reception a VHF communication or VOR audio,Selection of reception a VHF or HF communication only,For interphone,Selection of reception a VHF communication or VOR audio
1838. The flight interphone system is used for communication between,The cockpit and mechanic on the ground or cabin attendant,"The cockpit crew members, the cockpit and mechanic on the ground or cabin attendant",The cockpit crew members,"The cockpit crew members, the cockpit and mechanic on the ground or cabin attendant"
"1839. Passenger address system, is",Boarding music played in the cabin,Communication from the cockpit or cabin crew to the passengers,To give information to the passengers.,To give information to the passengers.
1840. CVR keeps a continuous record of,All cockpit crew voice communications,All cockpit crew communications and sounds in the cockpit.,All cockpit crew and cabin communications,All cockpit crew communications and sounds in the cockpit.
1841. CVR is located usually in,The nose section of the aircraft;,Avionics bay,The tail section of the aircraft;,The tail section of the aircraft;
1842. The CVR records when A/C is,On ground or in flight,In flight,When A/C electrical power is available,On ground or in flight
1843. The VHF communication system is,Used for long distance voice and data communication with ground stations.,Used for short distance voice and data communication with ground stations or other aircraft,Used for short distance voice and data communication with ground stations.,Used for short distance voice and data communication with ground stations or other aircraft
1844. The spacing between each VHF communication channel is normally.,25 kHz,25 MHz,25 Hz,25 kHz
1845. The VHF frequency range for aircraft communication systems is,From 118 KHz to 136.975 KHz,From 118 KHz to 136.975 MHz,From 118 MHz to 136.975 MHz,From 118 MHz to 136.975 MHz
1846. VHF communication system has,A transceiver and an antenna,A transceiver and control panel,A transmitter and a receiver,A transceiver and an antenna
1847. The ACARS system can be used in,VHF1,VHF2,VHF3,VHF3
1848. Normally captain uses,VHF1,VHF1 or VHF3,VHF1 or VHF2,VHF1 or VHF3
1849. Usually VHF2 antenna is,On the lower fuselage,On the upper fuselage,On the lower or upper fuselage,On the lower fuselage
1850. To transmit you must,Operate the push−to−talk switch on the control wheel.,Push either the radio transmission switch on the ACP or operate the push−to−talk switch on the control wheel.,Push the radio transmission switch on the ACP,Push either the radio transmission switch on the ACP or operate the push−to−talk switch on the control wheel.
"1851. The RMP has 2 frequency windows,",Standby window and a new selected frequency window,Active window and operating frequency window,Active window and standby window,Active window and standby window
