Question,Option A,Option B,Option C,Correct Answer
1407. When does an equilibrium exist?,The aircraft is in descent flight.,The aircraft is in climb flight.,"The aircraft is in steady, level flight.","The aircraft is in steady, level flight."
1408. What does The lift on the wing has to carry?,The weight of the aircraft only,The downward acting stabilizer force only,The weight of the aircraft and the downward acting stabilizer force.,The weight of the aircraft and the downward acting stabilizer force.
1409. When Moments = Zero?,Anti-clockwise Rotation > Clockwise Rotation,Anti-clockwise Rotation< Clockwise Rotation,Anti-clockwise Rotation = Clockwise Rotation,Anti-clockwise Rotation = Clockwise Rotation
"1410. If the aircraft is to maintain altitude during a turn, the lift in the turn?",Must not be equal to the resultant of the centrifugal force and the weight.,Must be equal to the resultant of the centrifugal force and the weight.,Must be equal to the resultant of the centrifugal force or the weight.,Must be equal to the resultant of the centrifugal force and the weight.
1411. The load factor ”n” is also called?,G−load,W-load,V−load,G−load
"1412. When an aircraft is in constant altitude, wings level flight, the lift is?",Equal to the weight of the aircraft.,Smaller to the weight of the aircraft.,Bigger to the weight of the aircraft.,Equal to the weight of the aircraft.
1413. The structural strength of the aircraft and consideration for passenger comfort limit?,The maximum angle of attack during a turn.,The maximum load factor.,The maximum speed during a turn.,The maximum load factor.
1414. The load factor on military is much?,Higher than on passenger aircraft.,Lower than on passenger aircraft.,Higher than on acrobatic aircraft.,Higher than on passenger aircraft.
1415. What happens when the aircraft is in cruise flight?,The coefficient of lift is much less than the maximum coefficient of lift.,The coefficient of lift is equal the maximum coefficient of lift.,The coefficient of lift is minimum.,The coefficient of lift is much less than the maximum coefficient of lift.
1416. When the aircraft is in low speed flight?,"The coefficient of lift is at, or close to, the maximum.",The coefficient of lift above the maximum.,The coefficient of lift is higher the maximum.,"The coefficient of lift is at, or close to, the maximum."
1417. What does pilot must do for the turn?,The pilot must decrease the speed.,The pilot must increase the speed to create the additional lift,The pilot must increase the speed to create the additional drag.,The pilot must increase the speed to create the additional lift
1418. The square root of the load factor is?,The stall speed during a turn divided by the stall speed during level flight.,The stall speed during level flight divided by the stall speed during a turn.,The stall speed in turn.,The stall speed during a turn divided by the stall speed during level flight.
1419. Directional stability is about?,The lateral axis.,The longitudinal axis.,The vertical axis.,The vertical axis.
1420. Lateral stability is about?,The longitudinal axis.,The normal axis.,The vertical axis.,The longitudinal axis.
1421. The Aircraft Fin gives stability about which axis?,Longitudinal axis.,Lateral axis.,Vertical axis.,Vertical axis.
1422. How many type of stability?,1,2,3,2
"1423. In static stability, when the ball is displaced from the center on a concave surface?",It returns to its original position of equilibrium.,It moves away from its original position of equilibrium.,It shows no tendency to roll back or away from its original position of equilibrium.,It returns to its original position of equilibrium.
