Question,Option A,Option B,Option C,Option D,Correct Answer
How many main methods are used for icing protection?,2,3,4,,2
The fluid anti-icing system of the propeller uses?,An alcohol based liquid.,Electrical power.,Purified water.,,An alcohol based liquid.
"The fluid anti-icing system of the propeller, a pump injects the fluid into a slinger ring on the propeller. From there it runs by?",Axial force onto the grooved anti−icing rubber.,Drag force onto the grooved anti−icing rubber.,Centrifugal force onto the grooved anti−icing rubber.,,Centrifugal force onto the grooved anti−icing rubber.
"Due to the amount of anti−icing fluid on board, the aircraft must be constantly monitored, so the system works?",Fine and a precaution is not needed.,Only as a precaution and must be activated before icing begins.,Only as a precaution and must be activated after icing begins.,,Only as a precaution and must be activated before icing begins.
"In the electrical de−icing systems, Control components in the system switch the heating element segments?",Alternately on and off.,Continuously on.,Continuously off.,,Alternately on and off.
What is TSO?,Time since overhaul.,Time since overall.,Time soon overhaul,,Time since overhaul.
Static and dynamic imbalances are caused by?,Difference of speed.,Unequal mass distribution.,Difference of torque.,,Unequal mass distribution.
Balancing the propeller to reduce the moment of imbalance is known as?,Dynamic balancing.,Static balancing.,Hub balancing.,,Dynamic balancing.
Metal propellers are particularly prone to?,Metal fatigue.,Metal bending.,Gouge on metal surface.,,Metal fatigue.
Information on permissible repairs can be found in?,The manufacturer’s manuals.,The operator’s manuals.,The mechanic handbook.,,The manufacturer’s manuals.
During periodic inspections the hub must be checked for?,Cracks and corrosion.,Nick and gouge.,Dent and delamination.,,Cracks and corrosion.
"When inspecting a composite blade, this has to be checked?",In the same way as all other composite structures.,In the same way as all other metal structures.,Follow the special procedure.,,In the same way as all other composite structures.
Skin perforated damage of composite blade?,Debonding.,"Lightning strike, holes.",Scratches.,,"Lightning strike, holes."
Cracks in the paint across the blade of WOODEN PROPELLERS are signs of flexural vibrations. Cracks through the leading edge tipping are the result. If the tipping is cracked in this way?,Maintenance is not required.,It must be replaced after 500 flight hours.,It must be replaced immediately.,,It must be replaced immediately.
When handling small aircraft do not pull using the outside of the propeller blades but use?,The propeller spinner instead.,The propeller tip instead.,The propeller root instead.,,The propeller root instead.
"When an engine fitted with can oil operated propeller is stopped with the propeller in the feather position, what do we must remember?",No warning or caution is required.,We can unfeather the propeller by attempting to start the engine.,Never unfeather the propeller by attempting to start the engine and actuating the feathering mechanism.,,Never unfeather the propeller by attempting to start the engine and actuating the feathering mechanism.
Installed propellers require to be kept in?,A clean condition and inspection is not required.,A clean condition and inspected at regular intervals for corrosion.,A clean condition and inspected at regular intervals for bending.,,A clean condition and inspected at regular intervals for corrosion.
Assembled propellers should be stored on?,"Racks or stands in a clean, cold environment.","Racks in a clean, wet environment.","Racks or stands in a clean, dry and warm environment.",,"Racks or stands in a clean, dry and warm environment."
The maximum storage period is up to 3 years with inhibiting checks every?,6 months.,12 months.,24 months.,,12 months.
In the event that an engine ground run can not be carried out then?,The pitch change mechanism must be exercised by unfeathering the propeller only.,The pitch change mechanism must be exercised by feathering the propeller only.,The pitch change mechanism must be exercised by feathering and unfeathering the propeller.,,The pitch change mechanism must be exercised by feathering and unfeathering the propeller.
If the propeller is to be stored ’on the wing’ for periods in excess of 3 months then the pitch change mechanism should be?,Flushed out with an any oil and then covered with waxed paper.,Flushed out with an any oil and then covered with fabric.,Flushed out with an inhibiting oil and then covered with waxed paper.,,Flushed out with an inhibiting oil and then covered with waxed paper.
The propeller should be?,Kept in the original manufacturers packing but if the original packing is not available it should be wrapped in plastic material.,Not kept in the original manufacturers packing.,Kept in the original manufacturers packing but if the original packing is not available it should be wrapped in waxed paper.,,Kept in the original manufacturers packing but if the original packing is not available it should be wrapped in waxed paper.
"In comparison to a jet engine, which speed does a propeller move a large mass of air at? (Level 2)",at a relatively slow speed,at a relatively high speed,at a relatively same speed,,at a relatively slow speed
When the sum of propeller brake moment and engine torque is zero? (Level 2),at constant rotational speed,at constant forward speed,at constant reverser speed,,at constant rotational speed
"If no propeller slippage in the air, effective pitch is: (Level 2)",more than geometric pitch,equal to geometric pitch,less than geometric pitch,,equal to geometric pitch
Which pressure does propeller use for constant-speed propeller of Hamilton Sundstrand Propellers? (Level 2),Oil pressure by engine oil pump,Hydraulic pressure by engine driven pump,Fuel pressure by fuel pump,,Oil pressure by engine oil pump
"In an on speed condition, which component of the governor does the centrifugal force acting on? (Level 2)",The governor’s control lever,The governor’s hub,The governor’s flyweights,,The governor’s flyweights
Which statement is true for beta mode? (Level 2),"In beta mode the blade angle is changed directly with the power levers,",In beta mode the blade angle is changed directly with the condition levers,In beta mode the blade angle is changed directly with the speed levers,,"In beta mode the blade angle is changed directly with the power levers,"
Which statement is true for beta mode? (Level 2),This can only be selected in flight,This can only be selected on the ground,This can be selected in flight or on ground ----HẾT---,,This can only be selected on the ground
