Question,Option A,Option B,Option C,Option D,Correct Answer
Documents to be carried on an aircraft include?,"Tech log, full Operations Manual and Flight Manual.",Tech Log and parts of the Operations Manual.,Full Operations Manual and Flight Manual.,"Technical Log, C of R, C of A, Noise certificate, License of use of radio devices, AFM or RFM, Normal, abnormal and emergency checklists.","Technical Log, C of R, C of A, Noise certificate, License of use of radio devices, AFM or RFM, Normal, abnormal and emergency checklists."
"Who is responsible for approving contents, layout of aircraft Technical Log?",The AMO.,The Operator.,The Design Organisation.,the CAAV,the CAAV
The mandatory documents to be carried on an aircraft are stated in the.,VAR Part 21,VAR Part 5,VAR Part 7,VAR Part 10,VAR Part 10
"Question number 122. By CAAV requirement, the passengers carrying operations by air are unacceptable conduct, what behavior is not acceptable?",may smoke while the no-smoking sign is lighted.,may smoke if the flight crews accept.,may smoke in aircraft lavatory.,may not smoke while the no-smoking sign is lighted and in any aircraft lavatory.,may not smoke while the no-smoking sign is lighted and in any aircraft lavatory.
Which VAR’s Part requires Vietnam registered aircraft to be maintained in accordance with an Approved Aircraft Maintenance Programme?,VAR Part 21.,VAR Part 12.,VAR Part 7.,VAR Part 5,VAR Part 12.
As described in VAR Part 12: Aircraft maintenance programme. How to build a maintenance programme?,,"Based on maintenance programme information made by EASA, FA",Based on maintenance programme information made by the State of Design or by the organization responsible for the type design and any additional applicable experience.,Based on maintenance programme information made by CAAV.,Based on maintenance programme information made by the State of Design or by the organization responsible for the type design and any additional applicable experience.
How to check the due date of Certificate of Maintenance Review?,In the maintenance schedule.,On the CMR.,In the maintenance statement.,On the techlog.,On the CMR.
An AOC is issued by the CAAV for aircraft in the.,transport and Aerial Work.,commercial air transport.,military transport.,light sport.,commercial air transport.
The legal responsibility for ensuring that the aircraft load rate and distribution goods does not exceed the limit on mass and balance of the aircraft.,Commander of the aircraft.,Load Master.,CRS staff.,Supervision personnel,Commander of the aircraft.
For what period of time must a load control sheet be kept?,Five years.,Two years.,Six months.,Three months.,Three months.
Deferred defect pages are kept in the.,maintenance schedule.,maintenance logbook.,aircraft technical log. maintenance management exposition.,,aircraft technical log. maintenance management exposition.
How to track the deferred defects?,Tech Log and Cabin Defect Logbook.,Tech Log and maintenance records.,Tech Log and maybe include a separate page or pages in the front or back of the technical log.,Deferred defects provision pages.,Tech Log and maybe include a separate page or pages in the front or back of the technical log.
"To operate aircraft in commercial air transport in Vietnam, which statement is correct? An Air Operators Certificate must be issued by the CAAV. before an airline can.",No person may operate an aircraft in commercial air transport operations that are not authorised by the terms and conditions of its AO,Person may operate an aircraft in commercial air transport operations without AOC issuance.,The AOC holder only operates military aircraft and the operations being conducted.,"Continue in compliance with the AOC terms, operations specifications and maintenance requirements that are the responsibility of CAAV.",No person may operate an aircraft in commercial air transport operations that are not authorised by the terms and conditions of its AO
"The AOC holder shall maintain, on each aircraft, a technical log that contains the record of all servicing of fuel and oil, defects, trend monitoring and maintenance tasks and tests on that aircraft during.",the course of its operation.,02 years.,03 years.,05 years.,the course of its operation.
A Technical Log is originated by.,,CA,Operator. Maintenance organization.,,Operator. Maintenance organization.
"To operate aircraft in commercial air transport, what certificate does the CAAV issue to persons and organizations (VAR Part 12)?",Aerial Application Certificate.,Aerial Dealers Certificate.,Air Operators Certificate. Approved Maintenance Organization Certificate.,,Air Operators Certificate. Approved Maintenance Organization Certificate.
"Aircraft operator shall update, revise and submit the aircraft maintenance schedule to CAAV for approval in, not exceeding:",90 days since the aircraft manufacturer promulgates or modify it.,60 days since the aircraft manufacturer promulgates or modify it.,30 days since the aircraft manufacturer promulgates or modify it.,120 days since the aircraft manufacturer promulgates or modify it.,90 days since the aircraft manufacturer promulgates or modify it.
How long shall AOC holder keep the maintenance record for aircraft maintenance after aircraft has been permanently withdrawn from service or destroyed?,for a minimum of 12 months .,for a minimum of 18 months.,for a minimum of 24 months.,for a minimum of 36 months.,for a minimum of 12 months .
An Air Operator Certificate is effective for:,6 months.,36 months.,24 months.,12 months.,12 months.
"In an operator, a Certificate of maintenance Review may be signed by.",any employee holding an appropriate licence.,qualified persons nominated by the company.,"no one, it is not required under VAR Part 12.",The aircraft maintenance review staff.,The aircraft maintenance review staff.
Who shall be responsible for performing all airworthiness directives and operation directives applicable to aircraft in full and on time?,The AMO.,The CAAV.,The Operator.,The manufacture. ----HẾT---,The Operator.
